SlideName,ScanLabel,ROILabel,SegmentLabel,Sample_ID,Ki67-.tumor,CD45,Ki67+.tumor,Tumor,QCFlags,AOISurfaceArea,AOINucleiCount,ROICoordinateX,ROICoordinateY,RawReads,AlignedReads,DeduplicatedReads,TrimmedReads,StitchedReads,SequencingSaturation,SequencingSetID,UMIQ30,RTSQ30,GeoMxNgsPipelineVersion,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA,Annotations,Secondary_annotation,ROIID,SegmentID,LOQ_01,NormFactorQ3_postDrop
JJ93,JJ93,1,tumor,JJ93.|.001.|.tumor,TRUE,FALSE,FALSE,FALSE,,108518.6,2849,19008,24065,31747075,29381256,916697,31668782,31191852,97.11,A01356:80:H3LWCDMXY,0.992,0.9924,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_tumor_mix,mix,539d0cf9-dacd-41f9-84f8-f961b9c9ca05,512f5d15-44e7-4959-a856-f61d82c24abe,35.18827275,4.122763
JJ93,JJ93,1,CD45,JJ93.|.001.|.CD45,FALSE,TRUE,FALSE,FALSE,"Low Nuclei Count,Low Surface Area",8636.1,71,19008,24065,8103879,7486646,130148,8085331,7957199,98.39,A01356:80:H3LWCDMXY,0.9921,0.9926,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_immune,immune,539d0cf9-dacd-41f9-84f8-f961b9c9ca05,9bcb521d-2760-4d56-8319-65ea550342ba,11.42674967,0.562194955
JJ93,JJ93,2,Ki67+ tumor,JJ93.|.002.|.Ki67+.tumor,FALSE,FALSE,TRUE,FALSE,Low Surface Area,12765.5,491,20247.1,9435.8,6604216,6101312,107306,6583771,6479707,98.38,A01356:80:H3LWCDMXY,0.9911,0.9922,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_tumor_positive,positive,27670500-ed4a-4808-962c-5ac9028034e5,1caa4493-2874-47ae-b5f9-5bd9e2033191,6.101288961,0.499728848
JJ93,JJ93,2,tumor,JJ93.|.002.|.tumor,TRUE,FALSE,FALSE,FALSE,,61156.6,2240,20247.1,9435.8,16168313,14934773,480181,16112530,15858821,97.03,A01356:80:H3LWCDMXY,0.9911,0.9916,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_tumor_negative,negative,27670500-ed4a-4808-962c-5ac9028034e5,35d410f9-01c1-432f-a0bc-0d318221216e,22.91630945,2.248779818
JJ93,JJ93,2,CD45,JJ93.|.002.|.CD45,FALSE,TRUE,FALSE,FALSE,"Low Nuclei Count,Low Surface Area",12372.5,124,20247.1,9435.8,6742776,6250001,91603,6715614,6610296,98.64,A01356:80:H3LWCDMXY,0.992,0.9926,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_immune,immune,27670500-ed4a-4808-962c-5ac9028034e5,be98cfee-bbe6-458f-94be-f40b0b0e35ba,6.184390095,0.437262742
JJ93,JJ93,3,Ki67+ tumor,JJ93.|.003.|.Ki67+.tumor,FALSE,FALSE,TRUE,FALSE,Low Surface Area,13067.3,595,14081,20731.6,7310181,6775544,111843,7290124,7179878,98.47,A01356:80:H3LWCDMXY,0.9916,0.992,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_tumor_positive,positive,b8d79472-cf11-48bd-b783-30f8aa2de543,7175f7e3-00ad-447b-b10b-82ff0804ab06,5.856644569,0.562194955
JJ93,JJ93,3,tumor,JJ93.|.003.|.tumor,TRUE,FALSE,FALSE,FALSE,,38231.7,1943,14081,20731.6,9520679,8739779,294609,9422896,9278394,96.91,A01356:80:H3LWCDMXY,0.9917,0.9922,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_tumor_negative,negative,b8d79472-cf11-48bd-b783-30f8aa2de543,b77ba520-72a3-4ef3-b24c-17d5fd5311e9,14.87005852,1.374254333
JJ93,JJ93,3,CD45,JJ93.|.003.|.CD45,FALSE,TRUE,FALSE,FALSE,"Low Nuclei Count,Low Surface Area",10269.2,83,14081,20731.6,4887089,4518386,74094,4870838,4797702,98.48,A01356:80:H3LWCDMXY,0.9914,0.992,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_med_immune,immune,b8d79472-cf11-48bd-b783-30f8aa2de543,823c7513-ce74-4404-8c8a-639d1699db1c,4.379925283,0.374796636
JJ93,JJ93,4,tumor,JJ93.|.004.|.tumor,TRUE,FALSE,FALSE,FALSE,,41211.2,1679,19680.2,13316.9,16913982,15649782,443233,16869828,16610778,97.38,A01356:80:H3LWCDMXY,0.9918,0.9925,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_high_tumor_mix,mix,a7eea327-cca5-4368-95fb-6113bb316c5e,f4d7c3b0-6d5d-4c3b-9c11-27af909bf17d,21.78673693,2.0613815
JJ93,JJ93,4,CD45,JJ93.|.004.|.CD45,FALSE,TRUE,FALSE,FALSE,Low Nuclei Count,23778.6,184,19680.2,13316.9,9515276,8803078,136621,9490280,9345552,98.56,A01356:80:H3LWCDMXY,0.9921,0.9927,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA21001,Ki67_high_immune,immune,a7eea327-cca5-4368-95fb-6113bb316c5e,a721106e-aca9-46c0-92d3-197f371ed062,10.41108404,0.624661061
