SlideName,ScanLabel,ROILabel,SegmentLabel,SegmentDisplayName,Tumor,CD45,Ki67+.tumor,QCFlags,AOISurfaceArea,AOINucleiCount,ROICoordinateX,ROICoordinateY,RawReads,AlignedReads,DeduplicatedReads,TrimmedReads,StitchedReads,SequencingSaturation,ScanWidth,ScanHeight,ScanOffsetX,ScanOffsetY,LOQ.(Human.NGS.Whole.Transcriptome.Atlas.RNA_1.0)
19B10550_1_1,19B10550_1_1,1,CD45,19B10550_1_1 | 001 | CD45,FALSE,TRUE,FALSE,"Low Nuclei Count,Low Surface Area",8990.9,88,23395.2,30095.2,913513,854850,192576,907920,902329,77.5,33532.5625,46284.80078,7809,1436,13.7
19B10550_1_1,19B10550_1_1,1,tumor,19B10550_1_1 | 001 | tumor,TRUE,FALSE,FALSE,,302181.7,4394,23395.2,30095.2,56862378,55439709,6468288,56665243,56429760,88.3,33532.5625,46284.80078,7809,1436,177.3
19B10550_1_1,19B10550_1_1,2,CD45,19B10550_1_1 | 002 | CD45,FALSE,TRUE,FALSE,,46224.3,241,20478.4,29436.2,2723256,2652186,512941,2712974,2699713,80.7,33532.5625,46284.80078,7809,1436,25.9
19B10550_1_1,19B10550_1_1,2,tumor,19B10550_1_1 | 002 | tumor,TRUE,FALSE,FALSE,,238886,3713,20478.4,29436.2,43449707,42291878,4712151,43270394,43053791,88.9,33532.5625,46284.80078,7809,1436,140.7
19B10550_1_1,19B10550_1_1,3,CD45,19B10550_1_1 | 003 | CD45,FALSE,TRUE,FALSE,"Low Nuclei Count,Low Surface Area",8258.1,63,33316.5,40050.1,541322,525804,119310,538538,534930,77.3,33532.5625,46284.80078,7809,1436,7.8
19B10550_1_1,19B10550_1_1,3,tumor,19B10550_1_1 | 003 | tumor,TRUE,FALSE,FALSE,,253460.3,3629,33316.5,40050.1,38611254,37606407,5283356,38475815,38284759,86,33532.5625,46284.80078,7809,1436,142.3
19B10550_1_1,19B10550_1_1,4,tumor,19B10550_1_1 | 004 | tumor,TRUE,FALSE,FALSE,,178043.1,2454,34790.8,37452.3,21677815,21075151,2715057,21567868,21456958,87.1,33532.5625,46284.80078,7809,1436,83.4
19B10550_1_1,19B10550_1_1,5,CD45,19B10550_1_1 | 005 | CD45,FALSE,TRUE,FALSE,,46366.4,368,20745.8,31988.6,2235211,2175032,513469,2226107,2214877,76.4,33532.5625,46284.80078,7809,1436,27.3
19B10550_1_1,19B10550_1_1,5,tumor,19B10550_1_1 | 005 | tumor,TRUE,FALSE,FALSE,,191898.9,3257,20745.8,31988.6,33442691,32398216,4024199,33142658,32985674,87.6,33532.5625,46284.80078,7809,1436,123.7
19B10550_1_1,19B10550_1_1,6,CD45,19B10550_1_1 | 006 | CD45,FALSE,TRUE,FALSE,"Low Nuclei Count,Low Surface Area",15885.4,151,23114,10857,1144944,1112378,232362,1140111,1133151,79.1,33532.5625,46284.80078,7809,1436,14.2
19B10550_1_1,19B10550_1_1,6,Ki67+ tumor,19B10550_1_1 | 006 | Ki67+ tumor,FALSE,FALSE,TRUE,,22029,733,23114,10857,23574371,20671540,4537241,22729917,22605976,78.1,33532.5625,46284.80078,7809,1436,334.4
19B10550_1_1,19B10550_1_1,6,tumor,19B10550_1_1 | 006 | tumor,TRUE,FALSE,FALSE,,171494.7,2734,23114,10857,29364291,28558314,3778009,29224940,29084255,86.8,33532.5625,46284.80078,7809,1436,110.4
20B1997_2_1,20B1997_2_1,1,tumor,20B1997_2_1 | 001 | tumor,TRUE,FALSE,FALSE,,163000.8,1832,21834,48811.8,17670305,17207207,2617716,17598621,17520654,84.8,35391.92188,61030.39844,6880,2253,76.7
20B1997_2_1,20B1997_2_1,2,Ki67+ tumor,20B1997_2_1 | 002 | Ki67+ tumor,FALSE,FALSE,TRUE,"Low Nuclei Count,Low Surface Area",2384.7,66,18249.5,30535.3,391491,347176,77345,389502,384523,77.7,35391.92188,61030.39844,6880,2253,6.6
20B1997_2_1,20B1997_2_1,2,tumor,20B1997_2_1 | 002 | tumor,TRUE,FALSE,FALSE,,69096.5,1050,18249.5,30535.3,7182255,6997259,1502272,7155371,7123495,78.5,35391.92188,61030.39844,6880,2253,46.7
20B1997_2_1,20B1997_2_1,3,Ki67+ tumor,20B1997_2_1 | 003 | Ki67+ tumor,FALSE,FALSE,TRUE,"Low Nuclei Count,Low Surface Area",4447.5,141,13866.4,32124.4,328021,291604,68261,326263,323130,76.6,35391.92188,61030.39844,6880,2253,2.8
