TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
A1BG,43,5,2,20,2,2,7,4,11,3,8,2,14,15,28,8,27,5,8,20,33,19,17,2
A1CF,24,6,3,10,2,2,7,2,14,5,11,2,2,8,7,1,14,6,5,12,24,5,3,4
A2M,72,27,7,20,28,2,22,27,46,42,22,6,51,112,287,11,62,42,13,121,278,11,8,1
A2ML1,25,4,5,11,5,5,10,2,5,4,14,1,8,8,11,2,16,1,1,15,23,11,5,2
A3GALT2,13,6,1,7,1,1,7,1,8,4,7,1,5,5,13,2,11,3,1,9,21,10,8,1
A4GALT,19,6,1,10,4,1,4,1,7,5,8,2,8,10,6,1,13,4,2,7,18,11,11,1
A4GNT,12,7,3,6,1,4,4,4,9,3,9,1,4,10,8,1,14,3,4,10,16,6,7,1
AAAS,58,8,9,35,6,6,26,1,27,4,30,2,19,25,19,10,50,4,9,39,52,17,22,3
AACS,18,3,2,16,1,4,12,1,19,1,12,2,11,10,13,1,14,4,4,10,26,10,11,4
AADAC,15,2,2,8,5,3,5,2,9,3,15,1,8,6,16,2,14,4,1,8,22,3,8,2
AADACL2,14,4,1,2,6,2,2,2,5,3,7,1,6,9,12,3,9,5,1,6,17,6,3,1
AADACL3,32,12,10,14,4,5,11,4,14,8,16,2,11,16,23,4,23,7,4,13,22,5,5,1
AADACL4,23,1,3,7,1,2,5,3,6,2,13,1,6,13,12,1,10,10,2,12,19,12,7,2
AADAT,33,3,8,16,4,6,12,1,14,5,16,1,14,16,12,1,21,4,1,18,30,13,2,1
AAGAB,21,5,8,15,1,9,9,1,26,5,11,1,6,13,18,3,24,7,4,23,38,5,3,1
AAK1,26,5,4,26,3,1,8,3,15,3,27,3,14,20,31,2,37,6,4,23,45,1,5,5
AAMDC,37,3,6,32,7,6,15,3,25,4,21,1,10,13,18,7,44,13,6,20,45,11,4,2
