"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"SLC1A2",3.14450131149717,6.22623257102667,12.8238699825756,1.56904797019757e-19,2.22632216491334e-15,33.5703352445249,"SLC1A2","up"
"KIF3C",1.68858886991733,6.14971944241325,11.0175228012482,1.46707965159633e-16,1.04081965882502e-12,27.034844637401,"KIF3C","up"
"TSPY1",-3.52496606991212,5.80187600853949,-9.95123454060128,9.89316967241543e-15,4.67913948273008e-11,22.9788636119588,"TSPY1","down"
"SCD",3.17958898678698,7.30512757124483,9.54888919084724,4.98348856285394e-14,1.76776798045836e-10,21.5825279396909,"SCD","up"
"CDKN2A",-3.7199948908747,5.63350458599209,-9.49232572328024,6.26194324329258e-14,1.77701425358157e-10,21.3112508690881,"CDKN2A","down"
"COL11A1",-1.9718876742342,5.59710529242638,-9.20215098930665,2.02809346214174e-13,4.79610302238819e-10,20.0690128940213,"COL11A1","down"
"APBB1",1.80020450200449,6.40924972208466,9.12402754675236,2.78563112054493e-13,5.64647428134457e-10,19.9026013342955,"APBB1","up"
"C1orf122",-1.58197573363813,6.06154946504776,-8.96114560263791,5.40539863872129e-13,9.58715016060204e-10,19.246723096854,"C1orf122","down"
"HIF1A",-2.02418526550234,6.33254403697197,-8.86370641541685,8.04216796439884e-13,1.26789245829839e-09,18.8519440070715,"HIF1A","down"
"SCG2",2.37104593776062,6.197504909392,8.75509092118438,1.25303469795611e-12,1.61630084811811e-09,18.4609889570265,"SCG2","up"
"CHGB",2.51165418170727,5.62849720979456,8.7562549704035,1.24708984778486e-12,1.61630084811811e-09,18.4407386462004,"CHGB","up"
"ID3",-3.73847542805564,7.12435873771174,-8.73252224995184,1.37407937736864e-12,1.62473435712364e-09,18.3546759712895,"ID3","down"
"GNG5",-1.74383855654839,6.64573606045683,-8.70421042792069,1.54264669247347e-12,1.6837395322697e-09,18.2262543110718,"GNG5","down"
