"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"KIF3C",2.62988919497648,6.14971944241325,14.1260470438181,1.45818347689849e-21,2.06901653537127e-17,37.9697581576273,"KIF3C","up"
"AMER2",3.15750616935575,6.15993459610393,12.8867545658792,1.24553805549457e-19,8.83646973470622e-16,33.8316403217784,"AMER2","up"
"ATRNL1",3.85511932133156,6.14080239454003,12.0375232840702,2.93619856543591e-18,1.38872404816567e-14,30.8749596379606,"ATRNL1","up"
"LRRN1",3.20701828599213,6.29229502411444,11.9071548420067,4.80734371657256e-18,1.7052849998612e-14,30.4336455287649,"LRRN1","up"
"COL11A1",-2.58836672799292,5.59710529242638,-11.2056239495917,7.06722606920305e-17,2.00553741391844e-13,27.8398564851734,"COL11A1","down"
"ALDH7A1",-2.32283578518665,5.57754529702376,-11.0690057814531,1.20078137348009e-16,2.8396478180515e-13,27.4233682041354,"ALDH7A1","down"
"RFC2",-1.75465585231997,5.47662400285635,-10.6527251837855,6.11576876517438e-16,1.23966632870085e-12,25.8429854018463,"RFC2","down"
"TUBB6",-2.28096863046228,5.99344430508398,-10.3121060891182,2.3487270070075e-15,4.16576093780368e-12,24.5457395123774,"TUBB6","down"
"FAM181B",2.59501288406595,6.8764733354353,10.1961018864847,3.72392072891367e-15,5.87096791361734e-12,24.0608929148994,"FAM181B","up"
"TSPY1",-3.9265284927637,5.80187600853949,-10.080863926334,5.89383881036135e-15,7.93302380227622e-12,23.6286377814516,"TSPY1","down"
"EHD2",-2.78631630235257,4.98181273892558,-10.0701987296171,6.15006426281192e-15,7.93302380227622e-12,23.5977354084302,"EHD2","down"
"SLAIN1",3.08086226629829,6.34570599536362,9.85066258427255,1.48013600518392e-14,1.75013748146288e-11,22.755104092424,"SLAIN1","up"
"IQGAP2",-2.72924491801992,5.44242645551186,-9.75251763141947,2.19488844060972e-14,2.39563631413934e-11,22.348317874005,"IQGAP2","down"
"SCD",3.97076029239232,7.30512757124483,9.72976487689821,2.40508962147395e-14,2.43755833136385e-11,22.3074407850627,"SCD","up"
"SEZ6L",4.55717980043526,5.72676419577632,9.69724778496298,2.74111859414683e-14,2.59291544882329e-11,22.1338921681917,"SEZ6L","up"
"PID1",3.58741172078483,5.77243881749058,9.26865545016202,1.54842142059373e-13,1.37315947105028e-10,20.4771669364787,"PID1","up"
"APBB1",2.30119673044902,6.40924972208466,9.18621092885104,2.16370278091604e-13,1.80592816225986e-10,20.1478363576928,"APBB1","up"
"PHYHIPL",3.13950092151133,6.76733436546745,9.11472539311709,2.89299006056288e-13,2.28047977607371e-10,19.9005299856359,"PHYHIPL","up"
"EFR3B",2.01758837475039,6.09795839802309,9.09891442105831,3.08508580002059e-13,2.30390960086801e-10,19.8308136807897,"EFR3B","up"
"SCG3",2.80855037414851,5.84652045973051,8.83323122114204,9.10717637910079e-13,6.46108628215306e-10,18.7758524189092,"SCG3","up"
"CHD9",1.77556965835305,5.83113166702407,8.81873653305037,9.66228101426914e-13,6.52376129423938e-10,18.7152716234932,"","up"
