"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"UBE2C",1.8197754654961,5.82976175258766,5.99417598914476,1.11098211592021e-07,0.00157637252427919,6.92866910746622,"UBE2C","up"
"H2AC14",1.03484401440309,5.86750943501918,5.44956667959521,9.08937410948071e-07,0.00385893156246938,5.16648966382525,"H2AC14","up"
"CENPF",1.16592437608695,5.24710851175456,5.40232197067472,1.08786568820055e-06,0.00385893156246938,5.16000518813998,"CENPF","up"
"H3C13",1.81661640158238,7.68053426839545,5.40902890409168,1.06049584664338e-06,0.00385893156246938,5.07705724707171,"H3C13","up"
"H2AC17",1.61372511271457,6.80521195568577,5.24826959361681,1.94790798307827e-06,0.00411328397087519,4.49493233385475,"H2AC17","up"
"CENPO",0.918435563963843,5.71296356466873,5.20185549765088,2.31913959877381e-06,0.00411328397087519,4.48809042122329,"CENPO","up"
"KIFC1",1.21342434985916,5.63027998921748,5.23495505434019,2.04796984964655e-06,0.00411328397087519,4.47928317165921,"KIFC1","up"
"NUSAP1",1.62362238808925,5.98237528873718,5.21024634352897,2.24723061342554e-06,0.00411328397087519,4.29816117345745,"NUSAP1","up"
"SGO2",1.09090377942939,5.05665087181984,5.05589970558917,4.00002789297716e-06,0.00567084758512921,4.01857982413057,"SGO2","up"
"PRC1",1.33031798288346,5.88868163855339,5.09432238078347,3.46712136762604e-06,0.0054661094539162,3.96530048217175,"PRC1","up"
"KPNA2",0.987765980875016,5.74861510013106,5.03045680393619,4.39631569782376e-06,0.00567084758512921,3.84657985290182,"KPNA2","up"
"TOP2A",1.45394416305057,5.8788771941011,4.92242784685256,6.55303674413128e-06,0.00740772760115608,3.49083699881896,"TOP2A","up"
"H3C2",2.46305002935281,7.7477193318596,4.9070737469425,6.93374961292895e-06,0.00740772760115608,3.46520557336625,"H3C2","up"
"H2BC18",1.24686603825735,6.80515114381172,4.89272533318161,7.30905535387872e-06,0.00740772760115608,3.4461922619666,"H2BC18","up"
"SPC24",1.27269931323753,5.69196646626479,4.79782320313601,1.03426576621828e-05,0.00978346463791414,3.12177742385439,"SPC24","up"
"H3C15",1.6207322029,6.97683204093445,4.74405300357769,1.25760623983737e-05,0.00991343052058472,3.00319877048122,"H3C15","up"
