"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"UPP1",1.09819645574803,6.03646215088168,5.78627537451353,4.31089496463408e-07,0.0030971893553312,5.60698585183065,"UPP1","up"
"EBPL",0.858103961371352,5.51785661741095,5.78277237615093,4.36562034721432e-07,0.0030971893553312,5.55225532551095,"EBPL","up"
"LY96",0.910653853832808,5.33222013302277,5.18027626871148,3.73740295254069e-06,0.0160388528025927,3.63360290529251,"LY96","up"
"MXRA8",0.792652184096485,5.8118103513998,5.04672545744454,5.97065240640085e-06,0.0160388528025927,3.46181681543171,"MXRA8","up"
"MREG",1.03087078279086,5.47870092515081,4.99984942101586,7.03221967646985e-06,0.0160388528025927,3.17152536717759,"MREG","up"
"SRPX",1.20758627203083,5.11083069991099,4.96799965548763,7.85733095784681e-06,0.0160388528025927,3.11631671023923,"SRPX","up"
"RB1",0.81684592491652,5.56823001722926,4.96598522638285,7.91260621736195e-06,0.0160388528025927,2.8548142160313,"RB1","up"
"GPRIN3",0.546586180816611,5.27070434162273,4.80684046720728,1.37305597756914e-05,0.0243528640821607,2.64895234845541,"GPRIN3","up"
"EMILIN2",1.25692411877423,5.69353725212619,4.71812672259295,1.86241544756148e-05,0.0264258127854498,2.42237827467885,"EMILIN2","up"
"CBS",-1.13185135971491,7.18132556675463,-4.71960231622508,1.85302368169102e-05,0.0264258127854498,2.21673045910023,"CBS","down"
"UQCR10",0.685176589745845,5.81908743699677,4.4825472804752,4.14588543467025e-05,0.0534781531204875,1.78634752322105,"UQCR10","non"
"CCNDBP1",0.540433155281257,5.55603808342484,4.44719271997867,4.6691085728636e-05,0.0552083179503014,1.71013717609543,"CCNDBP1","non"
"TIMP1",1.2231614828625,6.59068704673967,4.36834838299499,6.07857850464072e-05,0.066345346463344,1.42087418067919,"TIMP1","non"
"FAM228B",0.706868912665611,4.86742218659058,4.30461382606695,7.51360998678612e-05,0.0710737414016721,1.27276620267317,"FAM228B","non"
"SELENOI",0.703494879475271,5.3947080867081,4.30880774142872,7.40981982109606e-05,0.0710737414016721,1.17797680708142,"SELENOI","non"
"ABCC1",0.802916516863404,5.49787444884648,4.26122664922064,8.6738162268662e-05,0.0723957520252967,1.17114330272051,"ABCC1","non"
"GSE1",0.816553554512071,5.71835120785154,4.26393922185178,8.59643909760844e-05,0.0723957520252967,1.12396155407902,"GSE1","non"
"SLN",0.99958709964685,4.93162451376005,4.20608844698637,0.000104016524940661,0.0819939151323907,1.06748291669579,"SLN","non"
"LOXL1",0.827894242984119,5.39270776089796,4.09725572237958,0.000148455877216784,0.11086528641205,0.722151405437561,"LOXL1","non"
"EVC",0.855988648725337,4.50350635230555,3.99461783634675,0.000206891619107336,0.135226545268641,0.491268822476869,"EVC","non"
"GMNN",-0.646230355699231,5.57683035312311,-4.03507806138876,0.000181595704795324,0.128833072767043,0.488252463664384,"","non"
"LZTS3",-0.77117569167168,6.31675969385521,-3.99042703336469,0.000209698476644581,0.135226545268641,0.395814392431367,"","non"
"PSTPIP1",0.984058352852792,5.20139951595996,3.93137049261681,0.000253385699348653,0.145110776518784,0.372747967597603,"","non"
"GPR107",-0.557391664534345,6.03771217767448,-3.97663416116434,0.000219198713170677,0.135226545268641,0.371549959939964,"","non"
"TLE2",1.09967616767271,5.41082304526385,3.9249610862245,0.000258624417820236,0.145110776518784,0.272826796066019,"","non"
"PARVA",0.821406891766672,5.90244027845422,3.91626229628864,0.000265901768235139,0.145110776518784,0.269711910321582,"","non"
"SCG2",1.23953634437554,6.23801497478301,3.87837550663658,0.000299966469895477,0.154222395010631,0.142810552376874,"","non"
"HMG20A",0.632063080237667,5.42620215199437,3.86275283594805,0.000315205402446142,0.154222395010631,0.142791787645549,"","non"
"C1orf54",1.03448563509738,5.17476304705708,3.8687515217502,0.000309267867028417,0.154222395010631,0.0653884268627829,"","non"
"GALK2",0.703399117901776,5.33475669554823,3.85010126178761,0.000328090103342625,0.155175682544283,0.0570479933261216,"","non"
"UBR1",0.671369733056408,5.60861147665693,3.80536205643711,0.000377845532129511,0.172943556625343,-0.0531235942081416,"","non"
"MMP2",1.03264773764448,5.51199721490928,3.75117607413708,0.000447860113794143,0.198583973582034,-0.14701778722562,"","non"
"CUL7",0.625298193065258,5.42167239883782,3.73859432020779,0.000465816299915388,0.200286893318165,-0.222067755850224,"","non"
"TAP1",0.600358211275434,5.47918155586038,3.69286433364262,0.000537080506648764,0.224136332612921,-0.279727329043806,"","non"
"ZBED4",0.72776317926825,5.33722819682828,3.67843660030833,0.000561656016373619,0.227199123811829,-0.339270929585471,"","non"
"AHDC1",-0.727917085737008,5.18065923410226,-3.67004358921883,0.000576444320052564,0.227199123811829,-0.382503379149659,"","non"
"MPDU1",0.622525210083225,5.60421809723434,3.65969538178421,0.000595191561204376,0.22774198888886,-0.38332159027675,"","non"
"ATAD1",0.802609988749531,5.38099622378251,3.64144024750561,0.000629695756800112,0.229096233159918,-0.412663424196392,"","non"
"ZNF432",0.679486651539394,5.45426998788384,3.65178067424303,0.000609922868262504,0.22774198888886,-0.436567517168288,"","non"
"DPY19L2",0.600663794636389,5.2180427708399,3.62561448472073,0.000661150380235619,0.233135022144889,-0.449932328269159,"","non"
"SETDB2",0.602246336038945,5.42787348611173,3.61952087557789,0.000673658179430576,0.233135022144889,-0.510760106243296,"","non"
"MTMR10",0.597120380278568,5.46954493843337,3.58366912919419,0.000751956969691449,0.242489032794363,-0.589086465694577,"","non"
"COL1A1",0.913683836607619,5.29520858545211,3.57311535982489,0.000776615762720264,0.24487557904973,-0.598276310923718,"","non"
"LNPK",0.626504326264438,5.9630586494784,3.58605399427902,0.000746489312181361,0.242489032794363,-0.618196157031599,"","non"
"COPG2",-0.63734157679161,5.39244340879068,-3.55979713447775,0.000808837332815515,0.249491150333029,-0.661445092011982,"","non"
"JADE1",-0.542637042237826,5.72341696678004,-3.58725231824573,0.000743756338121274,0.242489032794363,-0.686111413966357,"","non"
"ITGA3",0.81734472772273,5.93074277853387,3.53841308773167,0.000863258163221906,0.259326681742804,-0.708364125436993,"","non"
"ARHGAP24",0.775509046213512,5.06037259761228,3.51833938256667,0.000917509969283872,0.259326681742804,-0.729402423772942,"","non"
"TOX4",-0.363831306140342,6.18137247602023,-3.5270487957005,0.000893583842010281,0.259326681742804,-0.756460611163514,"","non"
"AAGAB",0.794693801492755,5.65853375400878,3.51829739861497,0.000917626771836876,0.259326681742804,-0.778734656904755,"","non"
"PALM",-0.79727654394203,5.95267240326409,-3.50874927421152,0.000944561852473064,0.259326681742804,-0.797969310580922,"","non"
"PTPRN",1.28259343039951,5.91135643783493,3.50042434576839,0.000968659816221625,0.259326681742804,-0.801356501840167,"","non"
"GTPBP1",0.491089108414437,5.92605603735502,3.48254035394238,0.00102242428937829,0.268651448925713,-0.835612149322776,"","non"
"GPX7",0.663788255864282,5.26140124712665,3.5031240496579,0.000960781571922539,0.259326681742804,-0.84725527203747,"","non"
"ATP10B",0.630221066682415,4.98364097847286,3.47215305421966,0.00105494404568162,0.272156382985027,-0.873941599718381,"","non"
"NAGLU",0.652836739436602,4.89134244438573,3.44154072964988,0.00115660729216584,0.287914050325282,-0.936578541521036,"","non"
"NADK2",-0.568876537591991,5.92217470372509,-3.42497193514872,0.00121545152620368,0.297345546643172,-1.01288945456847,"","non"
