"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"PRKAR1B",3.36205463312856,5.56931238888145,7.80962049823981,2.58669830017237e-10,2.75241810319458e-06,12.9726254523306,"PRKAR1B","up"
"HPCA",3.4334640714416,5.23699867383693,7.56476305326322,6.32311495598416e-10,2.99062260368197e-06,12.2471392349538,"HPCA","up"
"CHN1",3.43086972895091,6.00751809036501,7.69848213857855,3.8796505788915e-10,2.75241810319458e-06,11.9444723134965,"CHN1","up"
"TMEM132B",2.00354840137767,5.77242222374649,6.92092003425496,6.69089875225197e-09,2.21655427797315e-05,10.1534594788021,"TMEM132B","up"
"CLSTN3",2.18482751303995,5.35470731808736,6.82510735306978,9.50856802717229e-09,2.21655427797315e-05,9.78629908203017,"CLSTN3","up"
"AMPH",2.02616289836564,5.19900981920093,6.78699243267741,1.09351469066263e-08,2.21655427797315e-05,9.65275546586533,"AMPH","up"
"PHYHIP",3.53879643960116,5.41052501106703,6.81434007827244,9.89158479851746e-09,2.21655427797315e-05,9.56891755916349,"PHYHIP","up"
"GABRB2",3.0533342391982,5.09731299065915,6.49781405393503,3.15543407701699e-08,5.59655676484926e-05,8.64459295347622,"GABRB2","up"
"DMTN",2.91592174240174,5.38284064840165,6.4144577871043,4.28082538830924e-08,5.66919438038775e-05,8.34877815099462,"DMTN","up"
"NELL2",2.95082167883808,5.18590238484969,6.40725891948773,4.39503405344036e-08,5.66919438038775e-05,8.33813676481669,"NELL2","up"
"CAMK2A",3.52218124263116,5.33940898195172,6.41071932663406,4.3397611527076e-08,5.66919438038775e-05,8.32102265546593,"CAMK2A","up"
"GDA",2.84839884212219,4.67173603674382,6.07289845865288,1.48857391208643e-07,0.000170589484655099,7.28772827546325,"GDA","up"
"OLFM1",3.96506806897862,5.73911310865497,6.05949568598058,1.56294545106511e-07,0.000170589484655099,7.06166519752207,"OLFM1","up"
"MGP",-3.70085450121513,5.5671816102907,-5.99100927629936,2.00467578299596e-07,0.00019879984554909,6.97647842779717,"MGP","down"
"BAIAP3",2.64553951618111,5.6003706847504,5.95515716048364,2.28332948203318e-07,0.00019879984554909,6.84825063148506,"BAIAP3","up"
"ATP2B2",2.78731709690798,5.11638076539961,5.9430637584764,2.3857472444663e-07,0.00019879984554909,6.79351860491033,"ATP2B2","up"
"PAK1",2.45005666848087,5.57966619053902,5.95178667601288,2.31142645282086e-07,0.00019879984554909,6.7808340288894,"PAK1","up"
"PCDH7",1.97317442318832,5.35477147046802,5.91284425109868,2.66206009263e-07,0.00019879984554909,6.73830308961041,"PCDH7","up"
"NPTX1",2.79424771862618,5.16844859203479,5.92308290394331,2.56505490972982e-07,0.00019879984554909,6.73162463106186,"NPTX1","up"
"NCDN",2.15236431759896,5.78630520278131,5.87995811891568,2.99895997960444e-07,0.000212761215753037,6.53391088487712,"NCDN","up"
"LY6H",3.04435874594855,5.78253134831665,5.86351158687367,3.18299733548724e-07,0.000215064519967755,6.51616134590801,"","up"
"CHST1",2.20296517942752,5.76643024363995,5.82686175956958,3.63442335790925e-07,0.000234403786478974,6.40085823544304,"","up"
"C1orf54",-1.57475431843412,5.17476304705708,-5.79094505440925,4.13834661320663e-07,0.000244662500394954,6.32625598151549,"","down"
"PEG3",2.21533148709138,5.30355861174787,5.79860296996891,4.02539235415124e-07,0.000244662500394954,6.32326773004879,"","up"
"NEBL",1.79678236968507,5.30487271412958,5.72445360760379,5.26101391002962e-07,0.000298594105477641,6.09561283425695,"","up"
"SNCB",3.5727364970989,5.79205307387107,5.67362360334975,6.31855152439721e-07,0.000344822798383354,5.83667144535617,"","up"
"MAP1LC3A",1.56399526292913,5.27982901836383,5.64706740438529,6.95226824368669e-07,0.000357563076446185,5.83505866279235,"","up"
"RAP1GAP",1.93806048253315,5.62959085544607,5.63523254443377,7.25460108785835e-07,0.000357563076446185,5.78928168019825,"","up"
"EEF1A2",3.14314490829197,5.35053760113656,5.6331929134313,7.30800565010879e-07,0.000357563076446185,5.78780657419593,"","up"
