"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"FGF14",1.79815984479207,5.57501175480686,6.32929296952668,5.81950053068735e-08,0.000581714379769241,7.64071374563015,"FGF14","up"
"GSE1",1.226689926389,5.71835120785154,6.23543786598979,8.19951201309804e-08,0.000581714379769241,7.09825705582827,"GSE1","up"
"DRG2",1.05377431600416,5.72028095387971,5.76230557390431,4.57423961786027e-07,0.00216346286459398,5.84046540935612,"DRG2","up"
"PPP1R9A",1.42419261325727,5.9785431387598,5.34936552635866,2.01186064196847e-06,0.00585616290393332,4.49888237716308,"PPP1R9A","up"
"HDAC1",-1.21391558744477,5.63790596733973,-5.34222530513085,2.06362777642305e-06,0.00585616290393332,4.1448249985978,"HDAC1","down"
"ATMIN",1.051901527783,5.52248871478932,4.94998783813822,8.22100201778251e-06,0.016856812137872,3.31219222351397,"ATMIN","up"
"UNC79",1.7498741769699,5.25358527611795,4.92027734329272,9.11755892422402e-06,0.016856812137872,3.26453086776549,"UNC79","up"
"CUL7",0.98650820008293,5.42167239883782,4.90834285273699,9.50415794650615e-06,0.016856812137872,3.21040897081136,"CUL7","up"
"DPY19L2",1.22669630737236,5.2180427708399,4.87078300999064,1.08289704736035e-05,0.0170724735611066,3.17561098002024,"DPY19L2","up"
"KIF3C",1.18098351369192,6.12787544588734,4.80781100264373,1.34680648328381e-05,0.019109837191314,2.86495762453674,"KIF3C","up"
"ZNF880",0.741243132968461,5.6653888434664,4.64077336118817,2.39126594041211e-05,0.0308451567531886,2.38284174718695,"ZNF880","up"
"MVD",1.00227825700874,5.72644245321814,4.52565306528679,3.53764509348527e-05,0.0353477181391233,2.12389643513462,"MVD","up"
"TOX",1.18788226040229,5.52325699763742,4.51615517234531,3.653253852256e-05,0.0353477181391233,2.0773689723767,"TOX","up"
"IFITM10",1.28334856673117,5.98601198168,4.51853348396041,3.62396332387696e-05,0.0353477181391233,2.07160610402379,"IFITM10","up"
"ASCC2",0.884782226449267,5.38145388995457,4.47775134921788,4.15949523512387e-05,0.0353477181391233,1.96054390469548,"ASCC2","up"
"PRORP",-0.734672973713504,5.93040544313561,-4.47796731065225,4.15646547305446e-05,0.0353477181391233,1.89655431453122,"PRORP","down"
"MICU2",0.761194432800151,5.38724285476795,4.45608334658338,4.47469029286236e-05,0.0353477181391233,1.88564626180072,"MICU2","up"
"CASD1",0.793064696436237,5.68857175484447,4.4554549674354,4.48417031858636e-05,0.0353477181391233,1.8834915215509,"CASD1","up"
"ESS2",0.689902827795514,5.55808496129086,4.34593698234429,6.47337062364033e-05,0.0482684817424111,1.58414583815899,"ESS2","up"
"COL9A1",1.86356535519719,5.21942983508983,4.33101290802985,6.80364814185794e-05,0.0482684817424111,1.5246697111242,"COL9A1","up"
"CHL1",1.73868923357498,6.07264216333367,4.31345668761958,7.21320115188205e-05,0.048737195782883,1.49458026919901,"","up"
"SHLD2",1.02369817339632,5.80532366730849,4.29355033217457,7.70662123592977e-05,0.0497042039620944,1.43897770489349,"","up"
"CABIN1",0.689937920362053,5.72904026997659,4.23555682441407,9.33860963940333e-05,0.0552106384056225,1.26600807156891,"","non"
"C1orf122",-1.12708989204992,6.05742412957265,-4.23611365993604,9.32144861261575e-05,0.0552106384056225,1.20599022383595,"","non"
"HIP1R",1.7030614730442,5.59017542098001,4.21270647350319,0.000100699197892913,0.0571528367561015,1.16123808583219,"","non"
"LGI1",1.36999368335406,5.20040722072829,4.19581599101335,0.000106459296727213,0.0580981138947086,1.09998122234295,"","non"
"RUNDC3A",1.44746808824015,5.76733375942905,4.18347978511326,0.000110867064810686,0.0582626956518085,1.08554019253307,"","non"
"C6orf89",0.67693760018699,5.41340316483199,4.14094932300707,0.000127462647927087,0.0602855837145812,1.02098779898146,"","non"
"L1CAM",1.25663027215075,5.308153572912,4.16202262332397,0.000118959158349883,0.0602825534938031,1.01812196081813,"","non"
"MYT1L",1.47518608662966,5.31980215037092,4.14415137573604,0.000126133603232664,0.0602855837145812,0.996586745716438,"","non"
"SRCIN1",1.15249598457786,5.50352758300494,4.12418561042253,0.00013464521614178,0.0616284184463133,0.953661606330191,"","non"
"PTPRN",1.88287119924677,5.91135643783493,4.09015187352571,0.000150453375414411,0.0627877336398551,0.856339751563058,"","non"
"ANK3",1.44287574195946,5.46326239209993,4.07934512742288,0.000155838686301644,0.0631770034266864,0.824331469186117,"","non"
"ONECUT1",0.844420094119396,5.08748207199747,4.0970033776815,0.00014713289878596,0.0627877336398551,0.81653515796132,"","non"
"CBS",-1.20618919258513,7.18132556675463,-4.09966435258586,0.000145862528416041,0.0627877336398551,0.758542187154879,"","non"
"MBTPS2",0.784046961653933,5.40353484605961,4.05993910402115,0.000165981308076051,0.065419688341419,0.755609279045417,"","non"
"PICK1",0.955072825141861,5.00336537843471,4.01786839223127,0.000190210165966289,0.0729430282404235,0.626259200395319,"","non"
"COG6",1.06673799781636,5.1974274310533,3.99227182608144,0.000206588663827093,0.0771391197642797,0.541656962192256,"","non"
"CKAP4",-0.753581788307848,6.1996369980661,-3.97872803329165,0.000215797970079308,0.0780486900412309,0.537214969875431,"","non"
"AP3B2",1.02381374278806,5.10211151237285,3.97269616615301,0.000220025907509284,0.0780486900412309,0.515528079104981,"","non"
"GMNN",-0.872452353950229,5.57683035312311,-3.93867156242107,0.000245414734043304,0.084931455154645,0.393764947928242,"","non"
"MFSD10",-0.726875403053051,5.60308530058339,-3.92289451234267,0.000258125563738476,0.0872034196163151,0.352544109002414,"","non"
"TMEM175",0.801484520884784,5.81229775556676,3.90446622254859,0.000273777060456115,0.0898528717619616,0.296037471400086,"","non"
"ELK1",0.654841015914512,6.00745795912277,3.89895472475347,0.000278633191734887,0.0898528717619616,0.289903964724576,"","non"
"NAA60",-0.894554141518135,5.58028170679171,-3.87953509769602,0.000296414053294514,0.0914308478738229,0.249419913609296,"","non"
"NUDT5",-0.822968693658329,5.89262855595794,-3.88006783069385,0.000295912008344338,0.0914308478738229,0.246261627958428,"","non"
"DENND4A",0.858757688382791,5.5510489284201,3.83466719997263,0.000341773686072054,0.101029725659924,0.152024271227578,"","non"
"TP53I11",0.816870409958959,5.10011333912705,3.83789630208678,0.000338297660222081,0.101029725659924,0.115265013956429,"","non"
"NOXA1",1.1303861041319,4.99654675585432,3.81575014797607,0.000362838136130873,0.105067557419611,0.0718504615798015,"","non"
"BORCS7",0.900334841603416,5.04464543168621,3.80671616328484,0.000373332969479192,0.105944430078805,0.0669861983699844,"","non"
"TTC9B",1.29120368872856,4.91318351341039,3.78030221340884,0.000405719346181511,0.11070676544172,-0.00855608241776373,"","non"
"GTF2B",-0.790166415637162,5.44420277650231,-3.78858166759008,0.000395287869184971,0.109975285801285,-0.0200819228980906,"","non"
"PARP11",0.802457992780749,5.45097104741844,3.72259814283028,0.000486122140598752,0.13014315194256,-0.159787500691279,"","non"
"TDRKH",0.74416725070278,5.42705949243307,3.68742385574257,0.000542410741304181,0.142523444599352,-0.261276475565819,"","non"
"MED29",-0.598786384294214,5.6646059662261,-3.68019228695454,0.000554733407808438,0.142997937866072,-0.272805928579766,"","non"
"MMD",-0.695800039345777,6.13996750511411,-3.67464195716854,0.000564372719747694,0.142997937866072,-0.310068876114939,"","non"
"RCCD1",0.932017441495508,5.24650893472281,3.64985558868902,0.000609412339971052,0.147918692884159,-0.352064202560848,"","non"
"RPH3A",1.18750416440126,5.20632782866184,3.63654389410736,0.000635001391030691,0.147918692884159,-0.396535742208596,"","non"
"CHGA",1.62890177928897,5.41735365268022,3.63184204948536,0.000644283058601605,0.147918692884159,-0.399719445518322,"","non"
"SHANK1",1.22094367861248,4.8348046933719,3.63370808449249,0.000640583984206543,0.147918692884159,-0.400179240704687,"","non"
"GALK2",0.942272219051959,5.33475669554823,3.63080739652614,0.000646342868335883,0.147918692884159,-0.415860414383999,"","non"
"SLIT1",1.93170289870794,5.81513492880564,3.63758329126524,0.000632966910418045,0.147918692884159,-0.425793441934855,"","non"
"TPD52",1.17002651018309,6.14685199367049,3.61743447539313,0.000673539460600042,0.151696054070698,-0.444970210624847,"","non"
