"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"MDK",-2.86187548833306,6.3884919682984,-12.5592485158811,4.16862746052697e-19,5.91486550374171e-15,32.9330639527749,"MDK","down"
"FAM181B",2.13452856768513,6.8764733354353,12.2442149529967,1.3494711721933e-18,9.57382323112535e-15,31.4987985415856,"FAM181B","up"
"RBP1",-1.99178816593818,5.91945997985119,-11.5460727657011,1.90370309285536e-17,9.00388106150823e-14,29.2213778548928,"RBP1","down"
"PHLPP1",2.25106846565541,6.81324302899538,11.0100319293529,1.51050281441674e-16,5.35813110843977e-13,27.0798964548067,"PHLPP1","up"
"RARRES2",-1.77152114659253,5.55195390775352,-10.8861912940597,2.44871667787139e-16,6.15186094278226e-13,26.7474224314844,"RARRES2","down"
"TIMP1",-2.8353573709952,6.49531730148379,-10.8707176889775,2.60139302675971e-16,6.15186094278226e-13,26.6460476356746,"TIMP1","down"
"IGFBP3",-2.91044398604988,6.55473509714215,-10.4757346825669,1.22875466982299e-15,2.21099729061829e-12,25.1783051515335,"IGFBP3","down"
"REV3L",1.85807546973405,6.40169406416429,10.4720860818076,1.24659795087366e-15,2.21099729061829e-12,25.0357832748733,"REV3L","up"
"H3C8",-1.85624062015236,5.7345352659037,-10.4260117017918,1.49569570496297e-15,2.35804737307996e-12,25.0179252274393,"H3C8","down"
"AMER2",1.75828921723202,6.15993459610393,10.3886777310758,1.73388160250414e-15,2.46020460579313e-12,24.6736804119743,"AMER2","up"
"COL8A1",-1.70874547953046,5.43053499767105,-10.157102899297,4.34930728336012e-15,5.61021100396334e-12,23.9769571466603,"COL8A1","down"
"MOXD1",-1.56039117555395,5.1129836635084,-9.93830583880681,1.04185176096851e-14,1.23190288636518e-11,23.1395593197259,"MOXD1","down"
"EMP3",-2.07272259286167,6.15141064658219,-9.86333161827562,1.40682462887255e-14,1.33325427328618e-11,22.8537913941781,"EMP3","down"
"FABP5",-1.72598193717886,6.80757651059802,-9.86286497850005,1.40945902454667e-14,1.33325427328618e-11,22.8101501197611,"FABP5","down"
"DIP2C",1.37718448593165,5.74043236444897,9.87656581792283,1.33413754745365e-14,1.33325427328618e-11,22.7420060494225,"DIP2C","up"
"DLL1",2.56908308400789,6.28742787592852,9.83747522476784,1.56053064630074e-14,1.38389808377257e-11,22.6511859157319,"DLL1","up"
"S100A16",-1.74474626811903,6.47032011263525,-9.74671240201156,2.24669792110649e-14,1.87519981191647e-11,22.3560351336982,"S100A16","down"
"APOL4",-1.23423545674248,5.36290040239418,-9.63886959971319,3.46728544489222e-14,2.73318406542087e-11,21.973510424089,"APOL4","down"
"DNAAF5",-1.22188533866602,5.53854186170122,-9.53360716375268,5.30051048900248e-14,3.9583654383398e-11,21.5491144946529,"DNAAF5","down"
"S100A10",-2.86167799254463,7.08164116252906,-9.49898199862299,6.09582950719237e-14,4.32468624387763e-11,21.4053671777082,"S100A10","down"
"PDPN",-2.07721906854123,6.06767625265199,-9.35902982116176,1.07358403223271e-13,7.25384944445237e-11,20.8847268234242,"","down"
"RFC2",-0.938714669865667,5.47662400285635,-9.21758098481225,1.90495499786038e-13,1.22860938475641e-10,20.3171486159848,"","down"
