"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"KIFC1",2.18552347156912,5.63027998921748,10.1090533703545,8.92644653502462e-15,1.26657349885464e-10,22.9723582080366,"KIFC1","up"
"ASPM",2.25919451775395,5.31266358331135,9.91557108895989,1.89187535396667e-14,1.2983501089564e-10,22.1888119307882,"ASPM","up"
"TROAP",2.7823488654756,5.59846808327006,9.80797816028953,2.87717944711966e-14,1.2983501089564e-10,21.9101303891146,"TROAP","up"
"TPX2",2.18852930256538,5.52905580404647,9.74633037840606,3.66015958547155e-14,1.2983501089564e-10,21.7006911861311,"TPX2","up"
"CENPF",2.0583528012865,5.24710851175456,9.61155074034438,6.20233687089099e-14,1.76009915722144e-10,21.2133942983098,"CENPF","up"
"MKI67",2.18439714322398,5.5807402171484,9.48782184866149,1.00793695680282e-13,2.30846514501883e-10,20.711698926972,"MKI67","up"
"TOP2A",2.61370366993803,5.8788771941011,9.45675531900086,1.13885798964915e-13,2.30846514501883e-10,20.5860484918093,"TOP2A","up"
"UBE2C",2.57996117597336,5.82976175258766,9.37423497134698,1.57584339450996e-13,2.79495524058773e-10,20.292395628804,"UBE2C","up"
"HJURP",1.96333376046785,5.70675006093797,9.01330853247706,6.56249492817404e-13,1.03461378373179e-09,18.9547305849681,"HJURP","up"
"IQGAP3",2.02468325481118,5.63617131194001,8.94746059281361,8.52184096080907e-13,1.2091640139292e-09,18.6785469241862,"IQGAP3","up"
"PRC1",2.09967157831043,5.88868163855339,8.75585397687292,1.82545887356265e-12,2.35467599608913e-09,17.9339806234193,"PRC1","up"
"UBE2T",1.77108331795872,5.50546584634546,8.53329219948053,4.43396266736947e-12,5.24279135727545e-09,17.1255242787103,"UBE2T","up"
"CCNB1",2.13700425141603,5.74592608830304,8.46223055046597,5.88948448538942e-12,6.4281457971685e-09,16.8765049114194,"CCNB1","up"
"ARHGAP11B",1.82317914762923,5.35550734540823,8.31472070637071,1.06241108124867e-11,1.07675363084552e-08,16.2755410149411,"ARHGAP11B","up"
"NUSAP1",2.2902918788119,5.98237528873718,8.25683911720384,1.33945523917233e-11,1.26703535924108e-08,16.0674098566061,"NUSAP1","up"
"KPNA2",1.57776296489875,5.74861510013106,8.12161189391416,2.30263573477125e-11,2.04200615254182e-08,15.5380619541342,"KPNA2","up"
"CKAP2",1.67412689005725,5.58166427867372,8.07439466733873,2.78251070430547e-11,2.31984419339347e-08,15.4087922243249,"CKAP2","up"
"UBE2S",2.00416409519516,6.45952424218878,8.06041638995083,2.94292730150698e-11,2.31984419339347e-08,15.3301698413487,"UBE2S","up"
"CKS2",2.06406600365893,6.3040320635929,8.04200150920416,3.16848344719346e-11,2.36619008590674e-08,15.2719936370851,"CKS2","up"
"CKAP2L",1.34324599574264,4.74724099317675,7.8941354753954,5.73437392353276e-11,4.06825158005032e-08,14.7454580172207,"CKAP2L","up"
"PTTG1",1.96828148571241,6.56013060353433,7.54395704490002,2.33878078445896e-10,1.58023621669944e-07,13.3530151800564,"","up"
"KIF22",1.23310972029164,5.74532163937898,7.52247915552333,2.54936726044682e-10,1.64422600265818e-07,13.2986893665368,"","up"
"RACGAP1",1.48158876159582,5.60926256185286,7.49044232204889,2.89920721439487e-10,1.78855874630647e-07,13.170759617351,"","up"
"ECT2",1.85388346400179,5.68901498747093,7.4332117259533,3.64779397143869e-10,2.15660619419765e-07,12.9474505385431,"","up"
"TACC3",2.03178346723007,5.67985768540359,7.41075204891762,3.99182002861997e-10,2.26559737544355e-07,12.8661500950206,"","up"
"ARHGAP11A",1.52691712440638,5.3406690193043,7.17283655622743,1.0362980466996e-09,5.65539730177719e-07,11.9644136662789,"","up"
"CCNB2",1.89913457302474,5.58414803629139,7.10548455471516,1.35717816607409e-09,7.13222259200937e-07,11.7065473277911,"","up"
"CDCA8",1.21190654297565,5.27501714914723,7.06972926004855,1.56602329510805e-09,7.93582304796006e-07,11.5757224384091,"","up"
"GTSE1",1.56841537979799,5.02175141684588,7.05323155931642,1.67290732697033e-09,8.18513174564898e-07,11.530481487225,"","up"
"DTYMK",1.15327722932938,5.87921888740187,7.02990077320197,1.83659228858428e-09,8.68646932757412e-07,11.4350584094394,"","up"
"SMC4",1.53881797551427,5.59815946878485,6.99036371363434,2.15124273072038e-09,9.84644616328757e-07,11.2812137571175,"","up"
"H3C8",1.6120443488322,5.7345352659037,6.97080560666842,2.32621573739022e-09,1.03145859680718e-06,11.2197236634805,"","up"
"ING1",1.01673954480641,5.50952422002619,6.91717783288139,2.88220391924573e-09,1.23926034576296e-06,10.9996789933797,"","up"
"PRR11",1.27361030058315,5.32804425619948,6.89315427754621,3.17246723555426e-09,1.32394522368469e-06,10.9051004111458,"","up"
"CDK1",2.02310063374184,5.55946606325159,6.64493322376765,8.53172830745074e-09,3.45876265584053e-06,9.96877908639112,"","up"
"RRM2",1.72261313776534,5.70381577322842,6.5717356605186,1.14118238265557e-08,4.49784356319443e-06,9.69156494279328,"","up"
"KIF2C",1.8053559437665,5.26898842566572,6.53236019694537,1.33420984266383e-08,5.1165144479884e-06,9.54372779315403,"","up"
"SGO1",1.43290430894093,5.08432771533067,6.50203812125257,1.50469145276604e-08,5.61843869034139e-06,9.43004532271318,"","up"
