"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"CD68",2.84122650090042,6.70026531166917,14.5901244168114,1.00541323759389e-19,1.42658084282197e-15,34.152767592243,"CD68","up"
"ZNF66",-1.93313125891856,6.45364051790909,-11.8635603717181,3.34853087778432e-16,1.58374348749606e-12,26.3783893048159,"ZNF66","down"
"FCF1",-2.13707916183531,9.17178495802426,-12.1045586998716,1.57374144277722e-16,1.1164908665783e-12,26.3731176269177,"FCF1","down"
"USP17L17",-2.27557429618758,6.95996637592971,-11.6732684198584,6.11052895852521e-16,2.16755738481285e-12,25.8571792057586,"USP17L17","down"
"FCER1G",2.45738733964623,6.08504979256016,11.1772362945343,2.99580595641513e-15,8.50149814311487e-12,24.4513670285132,"FCER1G","up"
"TAS1R3",-1.73483720910647,6.12566232155923,-10.9468589879084,6.33607335510947e-15,1.4983757472608e-11,23.6301523868921,"TAS1R3","down"
"TYROBP",2.14072598262192,6.31854435517175,10.8670755829264,8.22544408995997e-15,1.66729751703488e-11,23.4683918184004,"TYROBP","up"
"AKT1",1.3351152852347,6.23685432112321,10.641170312087,1.72965715291395e-14,3.067763167837e-11,22.696009015969,"AKT1","up"
"CYBB",2.08218372497221,5.85635166941003,10.584799632219,2.08420432294898e-14,3.28586390425813e-11,22.5706675803092,"CYBB","up"
"GPNMB",2.76425527150646,6.19439970137875,10.1658283204761,8.43592741919786e-14,1.19697374150998e-10,21.2183074512292,"GPNMB","up"
"KRTAP10-3",-2.07136551220757,7.16336773421627,-10.1161878785879,9.96978901865043e-14,1.28601214896028e-10,20.9926913194699,"KRTAP10-3","down"
"C6orf62",1.64165315814999,7.08974209637472,9.85915987176811,2.37890712166432e-13,2.81285942910792e-10,20.105977892214,"C6orf62","up"
"SULT1A2",-1.30523000530506,5.46538438406452,-9.71267323483793,3.91856215249586e-13,4.19398972123463e-10,19.6953102806866,"SULT1A2","down"
"PFDN5",1.62569791364742,7.43393202947115,9.6967150765869,4.13812503328528e-13,4.19398972123463e-10,19.5482029297493,"PFDN5","up"
"NIBAN2",1.58525474893988,6.22736775043875,9.6441683249532,4.95284645555292e-13,4.68506255718936e-10,19.4889123366079,"NIBAN2","up"
"C19orf53",1.65718999198283,6.26820383818204,9.57631203900183,6.24950832425733e-13,5.54214210080545e-10,19.232950232198,"C19orf53","up"
"CTSZ",2.16390844818634,6.89124873969554,9.53584621095976,7.1808780736568e-13,5.99349876394802e-10,19.1182979879969,"CTSZ","up"
"ITGB2",2.29359356932572,5.52758536910018,9.50885940939856,7.87873932478675e-13,6.21063512663329e-10,19.0470180946447,"ITGB2","up"
"ZNF28",-1.91668670955152,7.52748305983958,-9.40993425042377,1.10765429471751e-12,8.27184567776148e-10,18.6307423218717,"ZNF28","down"
"FAM20C",2.5052642379542,7.10228067557037,9.31658225886308,1.52911032213157e-12,1.04032968538379e-09,18.3905422649159,"FAM20C","up"
"CD79B",-2.06012419247031,6.31254708827263,-9.3145855170036,1.5397084638142e-12,1.04032968538379e-09,18.3751614647121,"","down"
"GAGE10",-1.78794790777171,6.46809095156397,-9.27723856476655,1.75217767852394e-12,1.13007495820801e-09,18.2553517411153,"","down"
"OR4X1",-1.72221744722144,5.04592895594596,-9.24518265780021,1.95801194450323e-12,1.14975288267754e-09,18.1364555294167,"","down"
"FAM161A",-1.27129609128086,5.25932332950773,-9.25633447772558,1.88377461819475e-12,1.14975288267754e-09,18.1358683960605,"","down"
"COTL1",1.67319564195282,6.76291830844214,9.23536860675195,2.02578208943115e-12,1.14975288267754e-09,18.1136618052239,"","up"
"APOC1",3.66130853768729,7.27252040173389,9.2095091968116,2.21590512864126e-12,1.2092876103958e-09,18.0112942745017,"","up"
"NPC2",2.00611428575432,6.475481272776,9.14388206572284,2.78327977081105e-12,1.46266506177919e-09,17.79886934608,"","up"
"LAPTM5",2.75938666275938,7.08166779361576,9.10967850480359,3.13496656997178e-12,1.5886443093332e-09,17.641288675297,"","up"
"MSR1",2.33921023722617,5.90770835294056,9.0909013123025,3.34675739227941e-12,1.63748760824319e-09,17.6372069446162,"","up"
"LHFPL2",1.83161916508931,6.43397112804653,9.03669915335932,4.0426420327623e-12,1.91203492676214e-09,17.4453898466892,"","up"
"CAPG",1.83037356189661,6.00514642347857,8.88621174581212,6.84082663827309e-12,3.07270549516063e-09,16.9340601961311,"","up"
"SPDYE3",-2.0144850475935,6.41167684323797,-8.88252371840236,6.92977488513215e-12,3.07270549516063e-09,16.9258827293515,"","down"
"TMEM59",1.49586112473597,6.78958368492819,8.8504527013607,7.75411356549533e-12,3.23597404061215e-09,16.7753141730521,"","up"
"GRB2",2.14347894128568,7.10775986475019,8.85178109211746,7.71808328342736e-12,3.23597404061215e-09,16.7667508125333,"","up"
"AKR1A1",1.17745018577899,6.18588769819981,8.65806126718596,1.5248820645158e-11,6.18187188954703e-09,16.1413333751784,"","up"
"CTSS",1.52881062236065,5.75432552322205,8.64745978615843,1.58293533811994e-11,6.23896375349549e-09,16.1189650172841,"","up"
"VAMP8",1.34580692707933,6.10786505179639,8.60819327403181,1.81804000428493e-11,6.97193773535103e-09,15.9862315200437,"","up"
"USP17L11",-2.19675853153731,6.55080330108818,-8.51687070806656,2.51014649830126e-11,9.37275491168333e-09,15.6721673838467,"","down"
"CTSB",3.07251264106966,8.02007407771701,8.49441969710946,2.71761705663416e-11,9.88724831194412e-09,15.5369776750899,"","up"
"ZIM2",-2.00281392664854,4.76755113411755,-8.46207819796575,3.0472188677261e-11,1.08092471285414e-08,15.4799987638274,"","down"
"USP17L3",-2.31602942037717,7.44340200842279,-8.43585958106911,3.34375734031895e-11,1.1571847049216e-08,15.3791508337777,"","down"
"HAPLN4",-1.57655358904613,5.08348906152405,-8.42469011777874,3.47875472189819e-11,1.17523930354794e-08,15.3463791265989,"","down"
"PRAMEF6",-2.07367937540733,6.25450731876028,-8.41732916967867,3.57070727004317e-11,1.17825035941029e-08,15.3289828013755,"","down"
"PCBP1",1.42125408512449,7.72952245512192,8.40952100014849,3.67092222243877e-11,1.18378898668599e-08,15.2216851595662,"","up"
"TMED4",1.57094227335574,7.33120957175771,8.35846523871296,4.39977144321971e-11,1.35713819582271e-08,15.1021715113863,"","up"
"CTSD",2.22493367908018,8.81588951972723,8.37590478755529,4.13573808442527e-11,1.30404417066467e-08,15.0355164734713,"","up"
"IFI30",2.09112861648354,6.85563112576554,8.28261358078236,5.76037759190711e-11,1.73902122662915e-08,14.864011084015,"","up"
"INHA",-1.6033938375648,5.31111820638451,-8.26955804522686,6.0340944322187e-11,1.78370345622398e-08,14.8158965202099,"","down"
"SLC30A3",-1.61160028851309,5.18016947970533,-8.23088338078087,6.92418992080384e-11,2.00504756706705e-08,14.6825069902031,"","down"
"OR5H15",-1.85570774596933,5.51505076786992,-8.20996612192119,7.45948690351596e-11,2.11685319347976e-08,14.6120987086474,"","down"
"GPX1",2.48919215729903,7.92108428212123,8.14378068920307,9.44343266374999e-11,2.62731109933233e-08,14.3342419334543,"","up"
"RAC1",1.54987180856486,6.67952554462088,8.12672493024532,1.00356546308056e-10,2.73838276070192e-08,14.3246506398356,"","up"
"RPL13A",1.02588839695733,6.74123005497744,8.11183403136838,1.05831742138294e-10,2.83329545132124e-08,14.2729892810582,"","up"
"CXCL16",1.68592876125847,5.74641775570974,8.10595803521288,1.08074044199063e-10,2.83974557988981e-08,14.2468122616954,"","up"
"ASPRV1",-1.5352952239495,5.20083497211424,-8.0709608722952,1.22454503611031e-10,3.15910354861258e-08,14.131431895511,"","down"
"RNF187",1.31015894928994,6.77307451183026,8.06152237005325,1.26652224887174e-10,3.20905074807878e-08,14.0892494250981,"","up"
"RGS1",2.18629557608836,6.21484235136328,8.04284315117025,1.35391057877293e-10,3.37028722845774e-08,14.0334040112747,"","up"
"LAMTOR2",1.1103010781367,6.07271805008336,8.02531765846165,1.44140714167345e-10,3.52622860917321e-08,13.9700457738709,"","up"
"OR2A14",-1.6692861315436,5.85922322014047,-7.99402254709966,1.61203196845865e-10,3.81218693340996e-08,13.8626530692337,"","down"
"PDPN",1.32487537761872,6.05762383380654,7.99758356624217,1.59163544641606e-10,3.81218693340996e-08,13.8540526156553,"","up"
"RRP15",-1.36037797122557,5.05269295690907,-7.94930436240228,1.89168454617617e-10,4.40018229929404e-08,13.708522582521,"","down"
"ZNF625",-1.09833433942362,6.71126929739594,-7.92238557730845,2.08303707461613e-10,4.76713113737553e-08,13.6124917865208,"","down"
