"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"SLC39A12",-1.21047903438251,4.77663132219513,-7.73707303054304,3.5469958348419e-10,5.03283239005717e-06,12.5376015380536,"SLC39A12","down"
"C5orf38",-1.44806965000457,6.05547079682798,-7.17198638972446,2.77975968815112e-09,1.97210051075881e-05,10.7230342422293,"C5orf38","down"
"RASL10A",-1.03011777718844,5.58508188178994,-6.68322781801759,1.65745507578809e-08,7.8392100234524e-05,9.03786016787861,"RASL10A","down"
"RABGGTA",-0.783976708767683,5.26185715672056,-6.39357971680242,4.7683735949e-08,0.00016914613234509,8.20418501143984,"RABGGTA","down"
"HYPK",-1.20530558826071,5.08089262129658,-6.16614221196437,1.09074402922728e-07,0.000309531340614118,7.48384831219065,"HYPK","down"
"JCAD",-1.10901236106774,4.90000721459808,-5.93045467855612,2.56234856512054e-07,0.000519388054149934,6.68434646572456,"JCAD","down"
"FUT2",-1.32574785226018,4.88319988475994,-5.85312970671332,3.38774358308385e-07,0.000600858671254709,6.42414163511451,"FUT2","down"
"CA4",-1.39682644809849,5.06849131859837,-5.76174789127167,4.70886181445493e-07,0.000742378225392233,6.13478494568605,"CA4","down"
"DDX5",2.19380835849365,8.69767004971772,6.11471377538915,1.31463382656764e-07,0.000310888989419471,5.91506867442251,"DDX5","up"
"PRKAG3",-1.29335533978107,4.9437060380606,-5.6609322624016,6.76473549855799e-07,0.000959848319890394,5.80703918889135,"PRKAG3","down"
"OR2A25",-1.07175190421438,4.871878195713,-5.56230001894805,9.63146341217358e-07,0.0012423712214121,5.48053326135197,"OR2A25","down"
"IL16",-0.906729565292854,5.17532959811941,-5.46985879508505,1.33974970877122e-06,0.00142392263283833,5.18848005879086,"IL16","down"
"AGER",-0.77857763093176,4.84726023423143,-5.4609366218981,1.38302996392435e-06,0.00142392263283833,5.14947460578726,"AGER","down"
"FAM47B",-0.765632054234443,6.37483470451809,-5.45652151631559,1.40495573047689e-06,0.00142392263283833,5.04837426240717,"FAM47B","down"
"DOC2A",-1.2470193775195,5.35945757597279,-5.36316728341468,1.95803681907271e-06,0.00185217229505485,4.78837608311058,"DOC2A","down"
"CT47B1",-1.14789084498656,6.14435477733441,-5.32116581554943,2.2724731948599e-06,0.00199021671869101,4.65654577291729,"CT47B1","down"
"IGDCC3",-0.86493589020785,5.18671302663711,-5.30757803105314,2.38450096678745e-06,0.00199021671869101,4.62746078402501,"IGDCC3","down"
"ITGA10",-0.927326550293841,5.37350260175993,-5.17020350291365,3.87224539716349e-06,0.00305240499668626,4.20097717695414,"ITGA10","down"
"GALNT18",-0.89673930693221,5.35528881729739,-5.06784505237984,5.54551849247182e-06,0.00414133483629909,3.87591121792371,"GALNT18","down"
"CACNA1H",-1.06229554005346,4.91457614023917,-5.00049000317258,7.01653119578608e-06,0.00497787805685044,3.65507879338223,"CACNA1H","down"
