"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"PNOC",2.44316107310715,4.97965189154325,12.591600332852,2.1252667420132e-17,3.01554098024254e-13,29.0984870018998,"PNOC","up"
"IFNA13",2.40800862041071,4.65089875003141,9.70958695469884,2.91897243054411e-13,2.07086499084952e-09,19.8315049954716,"IFNA13","up"
"KIR2DS1",2.33619478607202,4.8527383331944,9.49796548489103,6.11249933874354e-13,2.89100843724774e-09,19.1711537657405,"KIR2DS1","up"
"SRD5A1",1.59043235659599,5.94423385841794,8.85586873998691,5.92261694464396e-12,2.10090029568883e-08,17.0077646474091,"SRD5A1","up"
"GH1",2.39476747381906,5.01650984524452,8.48335322895828,2.25114653363849e-11,6.38830363315931e-08,15.7314862608652,"GH1","up"
"TAF3",1.54488646600328,4.99538297916387,8.26942821474978,4.87114561144108e-11,1.15194475134562e-07,14.9380550020468,"TAF3","up"
"BTBD11",1.99773351697527,4.98740075381041,8.18892041350631,6.51878303756584e-11,1.32135732171459e-07,14.7334620753275,"BTBD11","up"
"VWA5B2",1.87930742670806,4.9718655277342,8.14563850303132,7.6255911702261e-11,1.35249391392923e-07,14.5811407670481,"VWA5B2","up"
"IFNA14",2.43087032991876,5.34005408197057,7.8273038812865,2.42526602622723e-10,3.19444461182577e-07,13.43983410767,"IFNA14","up"
"DHRS1",3.6575313099834,9.09614875833156,7.82156811122394,2.47648817605776e-10,3.19444461182577e-07,13.0628710255027,"DHRS1","up"
"ITGB8",-3.25429585548795,7.24135748770392,-7.70516505847077,3.7861637679268e-10,4.47682314192612e-07,12.9189612781673,"ITGB8","down"
"TMEM106C",-2.49316866032768,10.4245003160659,-7.83876213068912,2.32610280149026e-10,3.19444461182577e-07,12.6978827678053,"TMEM106C","down"
"TNKS",-1.52465899747131,6.31281274690368,-7.61755395297707,5.21365105920691e-10,5.69049960608361e-07,12.5923962760564,"TNKS","down"
"USP17L7",2.03215262294943,5.25246354497969,7.57834212731889,6.01691537739407e-10,6.09814373498889e-07,12.5711736638736,"USP17L7","up"
"PRSS58",2.0134652923206,4.66456880129463,7.43898224345655,1.00173186226637e-09,9.47571559579834e-07,12.0751306653648,"PRSS58","up"
"CDK2AP2",1.44369448239646,6.38070325045059,7.39276491623945,1.18640109546352e-09,9.90226184913638e-07,11.9073707266796,"CDK2AP2","up"
"HSPA5",-1.84786986181834,6.83388939892314,-7.4015178760004,1.14898201364717e-09,9.90226184913638e-07,11.9047761431306,"HSPA5","down"
"CST8",2.12245512797418,4.98281936646413,7.33397644910405,1.47142048469239e-09,1.10225983228734e-06,11.7153916929327,"CST8","up"
"CLDN10",1.6673055976754,5.08942641026838,7.303235107329,1.64682576323985e-09,1.16834053773051e-06,11.6070296107358,"CLDN10","up"
"SRRM2",-2.27508694196696,7.8668612911447,-7.33312849506331,1.47599808397064e-09,1.10225983228734e-06,11.5275562311827,"SRRM2","down"
"DUT",-1.27407119165514,5.87036528376917,-7.21858572430142,2.24582800060001e-09,1.51743111907207e-06,11.2752788227827,"","down"
"CAMK2D",-1.48208716079119,7.06851790946257,-7.10579091405789,3.39615864988401e-09,2.17558104845048e-06,10.8654024172926,"","down"
"SLC25A3",-1.48839996864827,6.72879113245305,-7.09551714442687,3.52656030124470e-09,2.17558104845048e-06,10.8279772846365,"","down"
"IGHG4",1.6664071049773,5.93212807338309,7.05299758437177,4.121717650624e-09,2.436793822696e-06,10.7233054387589,"","up"
"DMTF1",-1.66548349317088,5.87287884389931,-6.96024669158057,5.79206201871002e-09,3.21949302080739e-06,10.3816551935756,"","down"
"GLYATL2",1.9396768904405,5.06726648500263,6.9552401925548,5.89941634653549e-09,3.21949302080739e-06,10.3761603990964,"","up"
"KRT36",2.1354612033752,4.9959135892749,6.85640421103648,8.4773729306919e-09,4.4550164634662e-06,10.0269624246561,"","up"
"RAX2",1.91573159874739,5.61818864352392,6.81503954460267,9.86624147463008e-09,4.9997178672688e-06,9.88168729921347,"","up"
"PCBP2",-2.26986776986932,7.6045959018674,-6.79262553350903,1.07115574734607e-08,5.24090651692875e-06,9.75954746329205,"","down"
"PRKCSH",-1.96763315774804,7.32050225024715,-6.77055816193469,1.16144601027697e-08,5.49325247993996e-06,9.66467340059201,"","down"
"TMEM171",1.89966518963081,5.27153638940358,6.71534284005245,1.42209025183617e-08,6.47761445115586e-06,9.52729020199235,"","up"
"SFTPA2",1.89021434539748,4.94668254005662,6.70800344043967,1.4608757659947e-08,6.47761445115586e-06,9.5084051654079,"","up"
"TSPAN32",1.9472379945078,4.98750080408261,6.69811567596747,1.51480378574458e-08,6.51319724725147e-06,9.47065959922251,"","up"
"HDGFL1",1.46004158535979,4.98637668253537,6.66842562297853,1.6889760050459e-08,7.00351065106292e-06,9.36461616005137,"","up"
"SREK1",-1.61953453029272,6.54198448530226,-6.66226392800377,1.72755566133767e-08,7.00351065106292e-06,9.32240140493653,"","down"
"CAPN14",1.88298921870127,5.07495328631662,6.62824808246959,1.95692465287192e-08,7.71300108322213e-06,9.21889093355909,"","up"
"GABRE",1.72413461058958,4.59814405946445,6.60207236842666,2.15391800057881e-08,8.25921425880487e-06,9.1367652589979,"","up"
"FAM20C",-3.02570539672313,7.10228067557037,-6.59481901780535,2.21192573003443e-08,8.25921425880487e-06,9.10889060957075,"","down"
"UPK3A",1.69612528580949,5.4261358479222,6.49518583412599,3.18593960542391e-08,1.13785684257926e-05,8.75332194145738,"","up"
"GAL3ST3",1.62240043414561,4.74779847176365,6.47839575452341,3.38788337200601e-08,1.14453993250936e-05,8.70373241646269,"","up"
"FAM90A1",2.2641867978206,6.11543518716231,6.48058899910252,3.36079586712343e-08,1.14453993250936e-05,8.69608747503612,"","up"
"RTN4",-2.50109302726472,7.72936964840854,-6.49332503830405,3.20771539242866e-08,1.13785684257926e-05,8.66167391119387,"","down"
"PILRB",-1.76910108644083,6.78866905228546,-6.43530703161802,3.96647925626321e-08,1.30884591086322e-05,8.54585007139699,"","down"
"VEGFA",-3.79727149868834,7.82831193490208,-6.41274910182153,4.30766266858522e-08,1.38912330919445e-05,8.42522113270327,"","down"
"EWSR1",-1.88276754827499,7.08929081624914,-6.38358138086475,4.79253194396247e-08,1.5111385722863e-05,8.34459256281558,"","down"
"SDS",1.811719468031,4.86631860446467,6.35488152766311,5.32266692070376e-08,1.64181132473621e-05,8.25944227167956,"","up"
"EIF3B",-1.72908780846785,6.63755551417841,-6.31179299159806,6.23024931398253e-08,1.82165542771804e-05,8.12021154950347,"","down"
"CTNNB1",-2.04390319912538,7.70775676494389,-6.30914224631013,6.2908672886168e-08,1.82165542771804e-05,8.072560432773,"","down"
"ABCA7",1.59296720916381,4.96364640832298,6.29274533968811,6.6791132949319e-08,1.88595887788006e-05,8.0528261552683,"","up"
"ACVRL1",1.43129715043732,4.86840820549057,6.28868982629917,6.77876543603377e-08,1.88595887788006e-05,8.03233846804933,"","up"
"DDX5",-3.15361208485727,8.69767004971772,-6.33474703061918,5.72908313913666e-08,1.72957363108958e-05,8.01574884496757,"","down"
"CR1",1.90041484854595,4.9742027728296,6.25904877161546,7.55349367288449e-08,2.02667972445019e-05,7.92600194154376,"","up"
"SGCA",1.8196233461806,5.94749037118016,6.25805300729793,7.58099722637524e-08,2.02667972445019e-05,7.92141248473595,"","up"
"MIPOL1",1.44941514077866,4.75145643947478,6.24829327127735,7.85590139155405e-08,2.02667972445019e-05,7.89300329557179,"","up"
"OR2T35",1.92339262049379,5.49617872287747,6.24864260559866,7.84589245170166e-08,2.02667972445019e-05,7.88476705125009,"","up"
"HLF",1.60466867784666,5.32639438098421,6.22480804477134,8.55877594349362e-08,2.1685798546827e-05,7.80509894841557,"","up"
