"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"VRK1",1.70453479353901,4.88473048027445,8.15041614476527,7.43443666574223e-11,1.05487221850217e-06,14.1126720048919,"VRK1","up"
"MTAP",2.10214548256443,6.01519558906766,7.81352304270978,2.53161556838114e-10,1.796054664988e-06,12.838814787915,"MTAP","up"
"FAM90A1",1.74015219252373,6.11543518716231,6.41693981715119,4.22338826678856e-08,0.00019975218705821,8.26589366510261,"FAM90A1","up"
"ZNF468",1.14119615772403,5.26193303569691,6.27716396661603,7.04067850733628e-08,0.000249750468351486,7.87021850007043,"ZNF468","up"
"COL11A1",1.86158227875816,5.51168597100369,6.19564944759423,9.48085783372169e-08,0.000269047783605354,7.51301161471027,"COL11A1","up"
"CDKN2A",2.98081122830154,5.53536656762018,5.9717656934174,2.14193831329258e-07,0.000445426210993365,6.81151446982841,"CDKN2A","up"
"HDAC1",1.17715020331366,5.63790596733973,5.9647181677367,2.19746527377092e-07,0.000445426210993365,6.78343947178571,"HDAC1","up"
"COL18A1",2.29759875165888,4.80714339299258,5.84635817185369,3.37528060930867e-07,0.000598648207068509,6.45140468354896,"COL18A1","up"
"PAPLN",1.4875126737505,5.01075066878979,5.75732475444816,4.65727236561305e-07,0.000660820375956836,6.16869207924763,"PAPLN","up"
"P3H2",-1.73032475916395,5.01457374710204,-5.78290342007953,4.24617477340095e-07,0.000660820375956836,6.12106662291155,"P3H2","down"
"CD2",1.32869335121265,5.13736261509705,5.50727001228852,1.14487933139389e-06,0.00136279664748862,5.31233366602236,"CD2","up"
"MRPS28",-1.16273522892182,5.9474595205863,-5.46232442596535,1.34464395410816e-06,0.00136279664748862,5.17253758343832,"MRPS28","down"
"DONSON",1.43270608512317,5.44069136667705,5.47321809245946,1.29326976992762e-06,0.00136279664748862,5.16702099345414,"DONSON","up"
"GGPS1",-0.901882903089728,5.7789347087724,-5.46709272775311,1.32191301292558e-06,0.00136279664748862,5.0940607656909,"GGPS1","down"
"CCDC144NL",1.51310902550531,4.89606501219238,5.41932387276337,1.56789613277261e-06,0.00138994165613233,5.06110674025153,"CCDC144NL","up"
"HIF1A",1.76696925975669,6.30977137437918,5.40243041780184,1.6653046835048e-06,0.00138994165613233,4.94113362528897,"HIF1A","up"
"MNAT1",0.908723171540593,5.87103799968218,5.40339972625852,1.65955729515885e-06,0.00138994165613233,4.93581080568132,"MNAT1","up"
"KCTD9",1.10938409385526,5.6540850720067,5.38307008847609,1.78430907592403e-06,0.00140653119323812,4.91261579460447,"KCTD9","up"
"IFNA4",1.44793102360114,5.37704640391714,5.3219237864092,2.21811286070624e-06,0.00160675975194524,4.72425226331041,"IFNA4","up"
"RBM11",1.65665143725082,5.00330435845981,5.3023285891249,2.37803614002748e-06,0.00160675975194524,4.66924593848965,"RBM11","up"
"RAB31",-1.77967326706783,6.81655075389215,-5.30372625720351,2.36626165677589e-06,0.00160675975194524,4.60434957698219,"","down"
"IGF2",2.92228705898634,6.14746235462644,5.24427210728112,2.92173013170128e-06,0.00188438312903225,4.37661563836517,"","up"
"IFNA13",1.32270574093281,4.65089875003141,5.17575035585993,3.72276598051987e-06,0.00229662289119984,4.23943015887803,"","up"
"SPAG5",1.50448146834401,4.78180485512331,5.14084352727361,4.21050241504729e-06,0.00248928411529608,4.13654353470026,"","up"
"ZNF429",1.15153510744655,5.00137015467014,5.07332338753938,5.33930143615437e-06,0.00280590178065164,3.91882165170024,"","up"
"NUDT5",1.09837704887539,5.89262855595794,5.07647324833428,5.280567352841e-06,0.00280590178065164,3.91209952704683,"","up"
"BDH2",1.10733481138688,5.95535248155085,5.07930985399524,5.22821913523477e-06,0.00280590178065164,3.89352067020591,"","up"
"MRPL45",1.00378594455119,5.31792080513814,5.04363755851456,5.92540489709788e-06,0.00285735411722404,3.82420023543525,"","up"
"DLGAP5",1.25169130563842,4.87806742439962,5.0391635902654,6.01906235829815e-06,0.00285735411722404,3.81623332329435,"","up"
"GALNTL5",1.49053775065926,6.30166270631845,5.03810932110122,6.04134354194947e-06,0.00285735411722404,3.78954908365607,"","up"
"PDZRN3",1.33760863575034,5.5336134830873,4.97152585742409,7.6258276861502e-06,0.00349041513028339,3.58064159845794,"","up"
"TRAPPC9",-0.898836374507376,6.3237445672651,-4.95579846535082,8.05607766057448e-06,0.0035721151851841,3.50501151147236,"","down"
"STYX",1.22430143736758,4.91323136665864,4.90919456262422,9.47604244551546e-06,0.0039545754782182,3.39640332970736,"","up"
