"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"TM6SF1",1.47081652298169,5.29869544196823,6.43904709604548,4.39048612461343e-08,0.000532308467115073,8.34268512693914,"TM6SF1","up"
"N4BP2",1.06893352510902,5.45883099722906,6.17800071508908,1.12546719384398e-07,0.000532308467115073,7.36332319050516,"N4BP2","up"
"HIF1A",2.00185408738085,6.30977137437918,6.19185757215128,1.07069530070537e-07,0.000532308467115073,7.35437373980109,"HIF1A","up"
"IGF2",2.51628133206641,6.14746235462644,6.08573894817923,1.56846776477914e-07,0.000556374727861281,7.15308143356222,"IGF2","up"
"INAFM2",1.29527101038247,5.87916022931551,5.88686524066911,3.20145626068815e-07,0.000908509257658084,6.48469074180319,"INAFM2","up"
"STAB1",2.41273657526203,6.52087152800928,5.80904695560129,4.22894495069815e-07,0.000928523141568256,6.08728318456816,"STAB1","up"
"PLEKHG5",1.8092316995705,5.51805211223512,5.71624205575599,5.88956816837995e-07,0.000928523141568256,5.89845993473138,"PLEKHG5","up"
"JDP2",1.28184514829647,5.03902657299491,5.72553475069314,5.69764942304359e-07,0.000928523141568256,5.85832405480386,"JDP2","up"
"CSF1R",1.45603777877765,5.41923840774892,5.62417512920301,8.17371010170887e-07,0.00106952932264395,5.67253925112566,"CSF1R","up"
"CENPT",-1.13697435875369,5.8460577826523,-5.620149658877,8.2915093023352e-07,0.00106952932264395,5.57103726005988,"CENPT","down"
"FCF1",1.3383241595326,9.17178495802426,5.74614513133965,5.29385123547827e-07,0.000928523141568256,5.49038581727405,"FCF1","up"
"ZNF565",1.40552637081367,5.09910839850582,5.583294206267,9.45132711763664e-07,0.00111459996332798,5.46032480935793,"ZNF565","up"
"THBS1",1.81575947749048,5.07868278404038,5.56148287910275,1.02119948715651e-06,0.00111459996332798,5.4549217180938,"THBS1","up"
"ASTN2",1.33620230929915,5.81553916023206,5.53942226132727,1.10430195579773e-06,0.001119210032201,5.29429332718768,"ASTN2","up"
"CYP4V2",0.965120480989254,5.76108064648969,5.46284830232371,1.44818611595743e-06,0.00136988751995466,5.08906972431128,"CYP4V2","up"
"CHIC2",-1.62052662403177,6.62197619172627,-5.44434381930771,1.54606400878237e-06,0.00137106888878832,4.97594891522083,"CHIC2","down"
"APLN",-1.2544015570165,5.40275447794359,-5.29712972512217,2.59697000710769e-06,0.00216755337828536,4.59789412628934,"APLN","down"
"TBC1D2B",1.11940991785318,5.48074378989405,5.17602115857415,3.96933649973608e-06,0.00312893975526418,4.19735333890308,"TBC1D2B","up"
"CCNG2",-1.30646539392669,6.21910990971645,-5.142381091636,4.46390571918947e-06,0.00333359780260944,4.04692485336582,"CCNG2","down"
"MANEAL",1.34817954681164,5.627238996402,5.12741394894274,4.70303361437388e-06,0.00333656719771755,3.95935874667576,"MANEAL","up"
"EXOSC10",0.894513547795809,5.99995459743865,5.06716811028843,5.80004706849069e-06,0.00391889846927687,3.77668437797946,"","up"
"H2BC21",0.935482678520597,6.18021889822331,5.0470357049335,6.22009067497216e-06,0.00401167575396273,3.7594751766505,"","up"
"RUNDC1",0.989286950214227,5.70903965137191,4.98836257964199,7.62268525356093e-06,0.00470253395925113,3.57796221835184,"","up"
"LTC4S",1.37544144185392,5.18238619951892,4.95172396916772,8.6518984416037e-06,0.00511507445782979,3.48635034710899,"","up"
"SLC4A7",0.996077308960191,5.55533778619043,4.93905553777465,9.03865041871493e-06,0.00512997643164584,3.43564905158743,"","up"
"MTR",0.868284478719643,5.46287920009784,4.89438940116072,1.05428022960194e-05,0.00574542542459091,3.26384111856804,"","up"
"SLC35D1",0.890650038135687,5.62564388230867,4.88383060784958,1.09328695795302e-05,0.00574542542459091,3.22559852666572,"","up"
"DNAJC16",1.1009009606255,5.55339311855759,4.72322474659307,1.89440042370265e-05,0.00860569500007155,2.7636233841999,"","up"
"USP17L17",1.2919002254252,6.95996637592971,4.7342608080109,1.8245050730082e-05,0.00860569500007155,2.7617277050529,"","up"
"FCGBP",2.58951471460515,5.86109969239423,4.70643588493827,2.00579329235617e-05,0.00860569500007155,2.70340953035278,"","up"
"PLXDC2",1.41028006829088,5.29849255002183,4.69444213390273,2.08927753578238e-05,0.00860569500007155,2.67257929742505,"","up"
"ZNF66",1.0131424525469,6.45364051790909,4.69490248145478,2.08601127270835e-05,0.00860569500007155,2.64921670842185,"","up"
"CYB5R4",0.808864927737522,5.54487934422314,4.6753932129819,2.22891811382452e-05,0.00860569500007155,2.60535455429267,"","up"
"ADAM28",1.06928004395937,5.27575799547186,4.66817001143626,2.28422594184292e-05,0.00860569500007155,2.59375827015051,"","up"
"C1orf162",1.18543728359775,5.24222770187803,4.66222626379997,2.33074345565261e-05,0.00860569500007155,2.57525353930599,"","up"
"RRP12",1.02692601984042,5.51265858768058,4.66221610082707,2.33082378332854e-05,0.00860569500007155,2.57314773508513,"","up"
"MEF2C",0.982233827763559,5.85921227173006,4.6617938825258,2.33416337525648e-05,0.00860569500007155,2.555759650614,"","up"
"QTRT1",-1.14439535105564,5.38875171290981,-4.65787705832966,2.36536827826338e-05,0.00860569500007155,2.5373845155679,"","down"
"NBPF19",1.04637818138473,8.30196879896494,4.68593249998013,2.15056575360112e-05,0.00860569500007155,2.49426195933972,"","up"
"GLIPR1",1.08758446372399,5.38630474606969,4.62560042397417,2.6385534699274e-05,0.00883517429828109,2.46142085334219,"","up"
"RNASET2",1.25868780466746,5.32828516883257,4.6234845041395,2.657503631468e-05,0.00883517429828109,2.44928411005204,"","up"
"PLEKHO2",1.04515779326528,6.04730349980244,4.62623797654538,2.63286953451672e-05,0.00883517429828109,2.44532129758441,"","up"
"CASP6",0.974139702040819,5.3891115729323,4.62126615206272,2.6775142351546e-05,0.00883517429828109,2.44211696594781,"","up"
"PLCD1",1.09709661127953,5.50835404119809,4.59146213745793,2.96109522346629e-05,0.00954885911949164,2.3553001444929,"","up"
"ZNF644",0.757907880319916,5.50740035862797,4.57355427057585,3.14540531984123e-05,0.00971453219894931,2.30060885986742,"","up"
"BICRA",0.864808636892953,5.65343931267427,4.57317753684593,3.14940081155591e-05,0.00971453219894931,2.28778134786241,"","up"
"CD163",1.86492340890324,6.46284069702083,4.56123295418715,3.27868635006833e-05,0.00989814481300416,2.24881462015373,"","up"
"CD302",1.36440657542918,5.05105046926735,4.54466877950822,3.46659775735715e-05,0.0100030929249551,2.21231630407952,"","up"
"AIG1",0.918622177593085,5.32962992448702,4.54507257167787,3.46189416773419e-05,0.0100030929249551,2.19961677822009,"","up"
"PPP1R1B",1.13798546235735,5.16494690435224,4.53970374142931,3.52494641093631e-05,0.0100030929249551,2.19602278466411,"","up"
"ADAM8",-1.47483572502082,5.11757757344459,-4.5323976045965,3.61255700951918e-05,0.0100507002760917,2.17421727280357,"","down"
"FGD2",1.24060365061204,5.58513322919637,4.50823821485583,3.91768501789213e-05,0.0106900062920907,2.09990903432047,"","up"
"CD14",1.66584896321877,6.34941352045864,4.50096375357448,4.01439427622573e-05,0.0107472151670504,2.07498202016271,"","up"
"ARHGAP18",1.02404293661858,5.38755697975333,4.46869636992118,4.47223157973962e-05,0.0116212233038918,1.97850480649206,"","up"
"RGL1",0.993561628239795,6.35559334907205,4.46653437224322,4.5046675714571e-05,0.0116212233038918,1.96394053605902,"","up"
"HLA-G",1.57990990942392,5.23642321780833,4.45401583565303,4.69704483665758e-05,0.0119011373548812,1.93378816274279,"","up"
"MAST1",-1.27324838032289,5.37002605134959,-4.43064902684994,5.07781429370603e-05,0.0124568909879814,1.85091127278884,"","down"
"CAP2",0.940033821200329,5.39991557728207,4.42981364846135,5.09197038059711e-05,0.0124568909879814,1.83535646814953,"","up"
"SLC38A1",-1.44642069896937,6.42354023570071,-4.41596796163106,5.33228044308072e-05,0.0127073946445426,1.80647913495454,"","down"
"ZNF331",0.981445962719394,5.14457656763717,4.41044991945429,5.43110575432903e-05,0.0127073946445426,1.80212469355382,"","up"
"ZFAND4",1.07634788135163,5.00582365375042,4.40868762219287,5.46304230965606e-05,0.0127073946445426,1.79594392901374,"","up"
"ITIH4",0.970297802416723,5.15871421135771,4.39173746103727,5.77971746303651e-05,0.0132271630779073,1.74570850510537,"","up"
"CSPP1",0.749494439242357,5.16933781733266,4.36576458676813,6.29996947812876e-05,0.0141889312579633,1.66878202701388,"","up"
"AGL",0.906273979592869,5.31193355863296,4.346110870499,6.72370653629631e-05,0.0143893219380441,1.61004679286789,"","up"
"LPAR6",1.49684123644315,5.51803634294975,4.34502192739867,6.74797904014274e-05,0.0143893219380441,1.60460971100164,"","up"
"HRK",-0.840358536793921,5.40560411035305,-4.33877096771112,6.88897282438898e-05,0.0143893219380441,1.58671152205457,"","down"
"IGSF6",-0.928985890852926,6.23095858859996,-4.33556553017821,6.96238205954764e-05,0.0143893219380441,1.57877445559975,"","down"
"TMIGD3",1.49962486489172,5.43330419656818,4.33791587957601,6.90848153727611e-05,0.0143893219380441,1.57558934985181,"","up"
"RNF121",0.67024163672099,5.79001365645602,4.33008107763156,7.08975479743091e-05,0.0143893219380441,1.55471774827024,"","up"
"MS4A4A",1.56137776300243,4.86988579880367,4.32969412139848,7.09882680712584e-05,0.0143893219380441,1.553044618732,"","up"
"STARD9",1.20929968963102,5.24153485139438,4.30405772984621,7.72571667090018e-05,0.0154191991305109,1.4849039047703,"","up"
