"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"CD68",2.96185115345446,6.70026531166917,10.873434599174,8.05588110673128e-15,1.1430489702341e-10,23.1495256773074,"CD68","up"
"FCER1G",3.11120701225668,6.08504979256016,10.3965637218673,3.89573096246677e-14,2.76382633132205e-10,21.8287307039363,"FCER1G","up"
"CYBB",2.68463104510239,5.85635166941003,10.2029123135391,7.44758597649634e-14,2.76720442786248e-10,21.2238079530514,"CYBB","up"
"TYROBP",2.84247065893193,6.31854435517175,10.1891097631018,7.80098506691798e-14,2.76720442786248e-10,21.1158425733953,"TYROBP","up"
"STAB1",3.8646347413027,6.52087152800928,9.34816771416453,1.37092274819375e-12,3.89040457482423e-09,18.2519258067627,"STAB1","up"
"RGS1",3.53264476120517,6.21484235136328,9.10759144047174,3.15782318543925e-12,7.46772552969958e-09,17.5520985027522,"RGS1","up"
"AKT1",1.52667725520075,6.23685432112321,8.92462265864653,5.98010078077533e-12,1.21216642826316e-08,16.9542140436426,"AKT1","up"
"RNASET2",2.47449723870661,5.32828516883257,8.86072156035735,7.47993811929774e-12,1.32666052468394e-08,16.8306917860953,"RNASET2","up"
"CD14",3.24372351373853,6.34941352045864,8.78996115906239,9.58776760741519e-12,1.43917505190038e-08,16.5202523128167,"CD14","up"
"MSR1",3.10819262722062,5.90770835294056,8.74801423730109,1.11103928930709e-11,1.43917505190038e-08,16.4348893389345,"MSR1","up"
"CD163",3.556367558875,6.46284069702083,8.74681893123149,1.11571820219214e-11,1.43917505190038e-08,16.3431826199391,"CD163","up"
"AKR1A1",1.54000450761793,6.18588769819981,8.64124659831888,1.61798793249656e-11,1.91313589784948e-08,16.0091252022243,"AKR1A1","up"
"LHFPL2",2.35582659266944,6.43397112804653,8.44163628375105,3.2760200113968e-11,3.57564984166994e-08,15.3578978859496,"LHFPL2","up"
"CAPG",2.41471655455787,6.00514642347857,8.37011454480269,4.22158491302925e-11,3.99333788873147e-08,15.1582905379432,"CAPG","up"
"LAPTM5",3.44170694544816,7.08166779361576,8.40167992960619,3.77440886635582e-11,3.82536338605163e-08,15.1385539519884,"LAPTM5","up"
"NPC2",2.35621408881705,6.475481272776,8.11286343176768,1.05443762063228e-10,8.80083258773617e-08,14.2419589354762,"NPC2","up"
"IGF2",3.33074395983997,6.14746235462644,8.0390095280694,1.37258221961051e-10,1.05001514298803e-07,14.0064030677657,"IGF2","up"
"FCGBP",4.42593648923148,5.86109969239423,8.03226956822544,1.40603902436906e-10,1.05001514298803e-07,13.9609855604261,"FCGBP","up"
"TMSB4X",3.68815778011059,9.97318840526705,8.14706291909789,9.33356236342952e-11,8.27711977341884e-08,13.6395508237723,"TMSB4X","up"
"VSIG4",3.95705508484946,6.14204005522763,7.89712345533472,2.28027735085712e-10,1.61774276656558e-07,13.4959890373515,"VSIG4","up"
"HIF1A",2.53547127634552,6.30977137437918,7.81457299102303,3.06546746599802e-10,2.07123418452599e-07,13.1802078080687,"","up"
"COTL1",1.89017059293201,6.76291830844214,7.73721174641983,4.04652348013872e-10,2.60982371180401e-07,12.9567525196457,"","up"
"APOC2",2.6673369850079,5.96852873874181,7.62048972081416,6.15575910404311e-10,3.63933608030282e-07,12.5592625882817,"","up"
"FCGR2C",2.76442278869875,6.49323435560826,7.62560362898484,6.0435589240652e-10,3.63933608030282e-07,12.5508669682411,"","up"
"CTSS",1.80623969398317,5.75432552322205,7.58577324127727,6.974760941975e-10,3.95859532022733e-07,12.4458611159963,"","up"
"LAMTOR2",1.46099074470392,6.07271805008336,7.56822864966936,7.4293980536605e-10,4.05445111474572e-07,12.374084838603,"","up"
"MS4A7",2.86473096228142,5.73669640656331,7.49355088007701,9.72187703946811e-10,5.00843366252859e-07,12.1232526124262,"","up"
"MERTK",2.52340824604556,5.80045516159762,7.48897628474336,9.88344087326806e-10,5.00843366252859e-07,12.0968940259482,"","up"
"ELFN2",-2.28103005401499,5.28188305459837,-7.34398201696397,1.66712179387859e-09,7.8252991080484e-07,11.5944384255558,"","down"
"IGSF6",-1.57176985593066,6.23095858859996,-7.33699898593004,1.7096643339876e-09,7.8252991080484e-07,11.5720085582437,"","down"
"GPX1",3.13198858918688,7.92108428212123,7.35472104954569,1.60375829443914e-09,7.8252991080484e-07,11.5160616929188,"","up"
"SULT1A2",-1.35453251266116,5.46538438406452,-7.26646536536516,2.20538990294127e-09,9.77883666651052e-07,11.3213650075059,"","down"
"ZNRF4",-2.38346941136033,4.79982971980955,-7.24191641302797,2.40982350677866e-09,1.03615108296007e-06,11.2261080341234,"","down"
"CENPT",-1.45942263737321,5.8460577826523,-7.20992552288352,2.70499636288395e-09,1.12885862920472e-06,11.1274326371995,"","down"
"GRB2",2.3163972836588,7.10775986475019,7.16954359968969,3.12986883133611e-09,1.26884882422366e-06,10.9606090143162,"","up"
"PABPN1",2.09372267758908,6.74571039352284,7.15024678800583,3.35589717248571e-09,1.32268958278888e-06,10.8252202821938,"","up"
"ARHGAP18",1.65073959568028,5.38755697975333,7.09176801166957,4.14571601580671e-09,1.58982606887247e-06,10.7260480223488,"","up"
"IFNGR2",1.59250849616707,6.06787523168536,7.08237868219573,4.28884173120639e-09,1.60143092958125e-06,10.6931732058408,"","up"
"C1QA",3.92418415833794,6.51296873814734,7.05227269314169,4.78198448612297e-09,1.73978404804099e-06,10.5817098424159,"","up"
"CAPZB",2.19844889855315,6.57630339957323,7.03217040373541,5.14248726450644e-09,1.82416879490205e-06,10.5010772628693,"","up"
"INAFM2",1.55569316776654,5.87916022931551,7.0050268626027,5.67281137443643e-09,1.96320781931411e-06,10.4246920468091,"","up"
"TMEM88B",-2.08503941955641,5.57979594680233,-6.97051540534512,6.42686355983531e-09,2.1712087392977e-06,10.3040232327331,"","down"
"ZNF138",-1.35423077482526,5.73787716816663,-6.91293973561926,7.91466795269346e-09,2.61165636234343e-06,10.1047442640246,"","down"
"CLBA1",-1.46338596040006,4.99291988291908,-6.88196788326286,8.85285853374111e-09,2.8548456758012e-06,9.98804147240834,"","down"
"VAMP8",1.46374648431309,6.10786505179639,6.86145438200443,9.53470132244098e-09,2.93703648121336e-06,9.9243555277748,"","up"
"ARPC1B",1.94266702126596,6.21935004225884,6.85965208029633,9.59706094473947e-09,2.93703648121336e-06,9.91318326052649,"","up"
"AKR1B1",1.97149100978479,7.03052660922851,6.85588525279988,9.72871341299795e-09,2.93703648121336e-06,9.8913156953034,"","up"
"PLXDC2",2.08705106299337,5.29849255002183,6.78029677862339,1.2787742480042e-08,3.78010995936076e-06,9.63136823531112,"","up"
"BMP2K",1.54893428467552,5.76720749992657,6.7441280782766,1.45749441201301e-08,4.21841030937164e-06,9.51886021782357,"","up"
"TGFB1",2.02377469222179,6.32984371834164,6.7386782759404,1.48650726244684e-08,4.21841030937164e-06,9.49991029430018,"","up"
"CYFIP1",1.79130407941052,6.44554041090445,6.72997770001998,1.53402715551843e-08,4.26790417836295e-06,9.46985811238558,"","up"
"CSF1R",1.77357295732789,5.41923840774892,6.7018780885271,1.69811578704947e-08,4.6335701735471e-06,9.35803681889933,"","up"
"LYZL1",-1.9872925015331,4.99144576474246,-6.67214660702195,1.89086662751862e-08,5.06217105242674e-06,9.26828777556419,"","down"
"CTSB",3.54183732366028,8.02007407771701,6.66105320226129,1.96825810674692e-08,5.17178042159852e-06,9.15996467689217,"","up"
"AIF1",1.61804096862701,6.24362230365488,6.62407224551377,2.24984122619345e-08,5.70053520686766e-06,9.09742096926573,"","up"
"NDUFS8",1.64128961993844,6.37408372591984,6.58981468269349,2.54645985758747e-08,6.33889805601906e-06,8.9827845666744,"","up"
"CD74",5.13511300750181,8.83239570327554,6.62824439454459,2.21615913346552e-08,5.70053520686766e-06,8.96437618419565,"","up"
"ARHGDIB",2.16655750016152,6.40143368391801,6.56818844554814,2.753503245849e-08,6.67741225422355e-06,8.90501005958044,"","up"
"FCGR3A",3.03555757937697,6.89461612100308,6.56588046379525,2.77656863062365e-08,6.67741225422355e-06,8.89477369953332,"","up"
"OR4X1",-1.49364553155095,5.04592895594596,-6.47092629353035,3.91300998472546e-08,9.25361644554493e-06,8.56382885088438,"","down"
"GPR34",2.1604540070355,5.91547494268635,6.42735734436733,4.57977669115011e-08,1.06528608968408e-05,8.40759500684874,"","up"
"APOC1",3.84483798670765,7.27252040173389,6.41633575919562,4.7656972632586e-08,1.0906528785222e-05,8.37677016867156,"","up"
"SCN8A",-1.58844894687153,5.13150906483523,-6.40843523245187,4.90358410425833e-08,1.10439610881463e-05,8.3543297711146,"","down"
"INA",-2.24623455585691,5.30687381873393,-6.40129667415076,5.03159109157704e-08,1.11551946872479e-05,8.33066533062823,"","down"
"ENG",1.64953881559491,6.10008919528097,6.38711277744963,5.29590706203616e-08,1.13853977732168e-05,8.28478259113778,"","up"
"CEBPD",2.71686790227953,6.61841584419986,6.3877227021927,5.28426130654778e-08,1.13853977732168e-05,8.28361859833795,"","up"
"CAPZA2",1.12267208466274,5.8252129341743,6.35573711462507,5.9308160506152e-08,1.24127356049075e-05,8.17044980514136,"","up"
"C6orf62",1.43715559386263,7.08974209637472,6.35170976613439,6.01762661343189e-08,1.24127356049075e-05,8.15915363657215,"","up"
"ARF6",1.58424710738383,6.3693911345505,6.35085487124482,6.0362164827586e-08,1.24127356049075e-05,8.15836154917606,"","up"
"SLCO2B1",2.90192941627287,6.62631322174551,6.3389683841266,6.30070225428287e-08,1.27715234694314e-05,8.11938985842388,"","up"
"TAS1R3",-1.29822390972519,6.12566232155923,-6.31491819295199,6.87169884255052e-08,1.37327513911196e-05,8.03428498428001,"","down"
"DAB2",1.66286727249075,5.82635286534838,6.30559772407215,7.10660299460157e-08,1.39854399394186e-05,7.9885336361927,"","up"
"RNF212",-1.542968321011,5.30801574217808,-6.30215916443889,7.19527179912297e-08,1.39854399394186e-05,7.9853353080008,"","down"
"KATNAL2",-2.35511564927826,4.79846289145973,-6.29108973200611,7.48827197001926e-08,1.43582555381896e-05,7.9494281313738,"","down"
"MEF2C",1.33103442242937,5.85921227173006,6.27743802920193,7.86604740632429e-08,1.48815128864447e-05,7.90785123759438,"","up"
"SHISA7",-1.99927766701859,5.28622651933386,-6.24968416759488,8.69361528748346e-08,1.62307509623819e-05,7.80746307508246,"","down"
"C1orf162",1.5866809119644,5.24222770187803,6.2364930987367,9.1168168196956e-08,1.67998069941118e-05,7.7459724356272,"","up"
"JDP2",1.39258949934744,5.03902657299491,6.21501753017889,9.85014462949062e-08,1.77621667538663e-05,7.69391612331191,"","up"
"RNF213",1.66946037768301,6.24526127396418,6.21042011446949,1.00146123074868e-07,1.77621667538663e-05,7.67740549271663,"","up"
"CREG1",1.33388105213939,5.85128790490443,6.21269960639559,9.93272682071396e-08,1.77621667538663e-05,7.66360265089043,"","up"
"SLC11A1",1.61603048732156,5.86667592345797,6.20387598307528,1.02534502080028e-07,1.796125987671e-05,7.63472073488702,"","up"
"MYLK4",-1.45940956034039,5.51411184745531,-6.1834841917754,1.10346678715135e-07,1.90940124913298e-05,7.56396509037095,"","down"
"AKAP13",1.45423970469818,5.36987151484393,6.1461456600854,1.2621906631804e-07,2.15773774938152e-05,7.45617645608156,"","up"
"PTTG1IP",1.7935369443671,6.59573380946379,6.13364528120631,1.32025344312393e-07,2.23012810767684e-05,7.41542700635516,"","up"
"GLIPR1",1.45690887720071,5.38630474606969,6.11007071989526,1.43708578863384e-07,2.39891885352065e-05,7.31642155980866,"","up"
"PRR20A",-2.34744946964115,5.68531865058999,-6.10488672588934,1.46412642037863e-07,2.41563834636655e-05,7.29761660837045,"","down"
"PLEKHO2",1.37381028897479,6.04730349980244,6.09176346767729,1.53486462733348e-07,2.50324071232584e-05,7.27052826461431,"","up"
"KANK1",-1.65108949606153,5.76723004919434,-6.08679721448021,1.56251248593933e-07,2.51937382534013e-05,7.25202333066122,"","down"
"NOP10",1.21444217053907,6.73936257112913,6.0811324562319,1.59465455018049e-07,2.54230937219224e-05,7.2353887691892,"","up"
"GAGE10",-1.63718922994917,6.46809095156397,-6.03419575904608,1.88757310132498e-07,2.97586385941113e-05,7.06887773720774,"","down"
"C1QC",5.01689468475612,7.23966785858432,6.01661781178924,2.01055003467792e-07,3.07101840420997e-05,7.01341138824,"","up"
"LRRC75B",-1.08233192107733,6.2665600255125,-6.01570013809477,2.01718464949682e-07,3.07101840420997e-05,7.01288722845594,"","down"
"PFN1",2.42484930103748,7.67184996278271,6.01479044449848,2.02378306122479e-07,3.07101840420997e-05,7.00873991311642,"","up"
"RPL13A",1.09696664346968,6.74123005497744,6.00822777616669,2.07202532840327e-07,3.09473340891726e-05,6.98435959317416,"","up"
"TYMP",1.88753563761717,5.64491020174665,6.01331870921738,2.03450370001929e-07,3.07101840420997e-05,6.95932381793462,"","up"
"SERP2",-1.69146211334108,5.32275902384947,-6.00479446715933,2.09771756574912e-07,3.10047026462649e-05,6.95640035749111,"","down"
"ANKRD39",-1.4295785769601,5.6990407252002,-5.99248418854772,2.19247018595188e-07,3.20710922355374e-05,6.93391368468576,"","down"
"KRTAP5-3",-1.88133914853504,4.94089546088035,-5.95552435299838,2.50328442747331e-07,3.61554778906613e-05,6.79481086169516,"","down"
"AQP12B",-2.26584671585771,4.99587976669863,-5.95337475404926,2.52265297848719e-07,3.61554778906613e-05,6.79391583307544,"","down"
"HSPBP1",-1.52742829852469,5.0298971439765,-5.9326136713213,2.71755525596163e-07,3.85593915268395e-05,6.6976268321465,"","down"
"TMEM59",1.36662713258714,6.78958368492819,5.89905875295089,3.06468413970118e-07,4.30435121172096e-05,6.61668897562177,"","up"
"KCTD11",-1.48423432116895,5.78544820512087,-5.89637727214434,3.09425487064302e-07,4.30435121172096e-05,6.59429983431205,"","down"
"ENAH",1.8601367793944,6.11776685391749,5.88237610883376,3.25332298163109e-07,4.39632378917748e-05,6.55580713579606,"","up"
"KCTD12",1.63074105800897,6.11775205295698,5.88335583884495,3.24193258178791e-07,4.39632378917748e-05,6.52803997810163,"","up"
"TMIGD3",2.06220819686755,5.43330419656818,5.88537714731816,3.21855777518648e-07,4.39632378917748e-05,6.52107211236346,"","up"
"AIDA",0.968265675619431,6.35263702570056,5.85551996299711,3.5815188703374e-07,4.75928709791312e-05,6.46386545966256,"","up"
"PGR",-1.74123917381902,5.27015410285143,-5.85493642230255,3.5890035906456e-07,4.75928709791312e-05,6.42638954917048,"","down"
"SLC9A8",-1.43094451174385,5.41308780789824,-5.82157080986526,4.04382882282084e-07,5.25825044182172e-05,6.35442596511142,"","down"
"OCSTAMP",-1.83496007765237,4.97827143678262,-5.8193230352457,4.07645040947487e-07,5.25825044182172e-05,6.34440767900596,"","down"
"RPS7",1.90898433094989,8.84242161097536,5.82748849117505,3.95918083325149e-07,5.2015571150931e-05,6.33981151614421,"","up"
"PSG11",-1.78896470505413,5.11807020538017,-5.80541321093339,4.28421348489252e-07,5.47645992226486e-05,6.27900974998537,"","down"
"MAST1",-1.66451979012835,5.37002605134959,-5.79920076542687,4.38036958409912e-07,5.54938071685557e-05,6.27526639377312,"","down"
"TBC1D14",1.13735763474513,6.18368044778715,5.78587464197769,4.59391834971822e-07,5.69956591175952e-05,6.22462508642054,"","up"
"NCKAP1L",1.79425105973554,5.30286457112321,5.79429683762904,4.45778312870686e-07,5.59747653214351e-05,6.2091848041921,"","up"
"SYNGR2",1.5949032062687,6.13048222684387,5.78432429140264,4.61942405985161e-07,5.69956591175952e-05,6.19815250590489,"","up"
"ARHGAP4",1.30073629425837,5.5903054756829,5.77856204100647,4.71546040402344e-07,5.7679023855766e-05,6.17161241108776,"","up"
"RPL26",1.87731536654381,9.03697762128582,5.76645100967096,4.9238161599428e-07,5.92068029605325e-05,6.13929478789929,"","up"
"NINJ1",1.460512878979,6.11449289171607,5.76661717780889,4.92089651834897e-07,5.92068029605325e-05,6.12513039664757,"","up"
"OR4F4",-1.5348665136542,5.56918648212799,-5.75334321349099,5.15962539214024e-07,6.07854965776046e-05,6.11719672815066,"","down"
"SLC30A3",-1.5614946172358,5.18016947970533,-5.75330439788599,5.1603400682284e-07,6.07854965776046e-05,6.11588229510956,"","down"
"ZFP36L1",3.05715354377904,6.46344579372177,5.75204266895605,5.18362469933762e-07,6.07854965776046e-05,6.09766624681972,"","up"
"WFDC2",-1.46230418332919,5.21901859221327,-5.74045132216235,5.40247598127041e-07,6.28325669657753e-05,6.06665201783173,"","down"
"C1QTNF3",-1.55072312126392,5.07148680628638,-5.72556067844106,5.69712272292369e-07,6.51907050931969e-05,6.02924238009602,"","down"
"CLTCL1",-1.22356729499898,5.1938478467089,-5.73681123284864,5.47307647878683e-07,6.31361643556962e-05,6.0233227759876,"","down"
"C20orf204",-1.73385129177671,5.18316816569184,-5.69547439000575,6.34196735117423e-07,7.19166564437991e-05,5.90216251779592,"","down"
"RPS4Y1",2.55296096091323,6.89109425374397,5.68723749180208,6.53079896951412e-07,7.2964965809792e-05,5.90108299955338,"","up"
"TM6SF1",1.30043290651854,5.29869544196823,5.69351963434639,6.38628424266593e-07,7.19166564437991e-05,5.86698753935491,"","up"
"SCAMP2",1.39273458167895,6.59848596538227,5.67987298449578,6.70434678651544e-07,7.4318731682709e-05,5.86548479398348,"","up"
"IL10RA",1.52010354351295,5.46890657743701,5.66945950217654,6.95757742260861e-07,7.65279581778245e-05,5.79073289135034,"","up"
"CTSZ",1.74968198642492,6.89124873969554,5.65162068806919,7.41360175362217e-07,8.09166117554961e-05,5.75479392902821,"","up"
"RPS6KA1",1.29126393833566,5.72921661096156,5.62808274145415,8.06094703595022e-07,8.73105171703036e-05,5.64868714282586,"","up"
"TAB2",1.08636038307363,6.15091625001164,5.60916755132813,8.62151019636922e-07,9.26747031638506e-05,5.61999437540195,"","up"
"DEGS2",-1.61197999738803,5.17639626334453,-5.60523831571314,8.74271437352686e-07,9.32709580796787e-05,5.58846959777155,"","down"
"GRN",2.03321734823469,6.78611421389828,5.59175059622857,9.17175663134107e-07,9.71179513747003e-05,5.55158716857771,"","up"
"ZNF543",-1.34370026113716,4.90474284813023,-5.58063083072717,9.54111526814139e-07,0.000100280655214562,5.54500756936694,"","down"
"UGT2A3",-2.00997776087782,5.03661019301282,-5.56012747120608,1.02612171798193e-06,0.00010627475223683,5.46055823112903,"","down"
"PCBP1",1.24819634417976,7.72952245512192,5.55280842164535,1.05311012464716e-06,0.000108279562018975,5.45238842029319,"","up"
"ID2",2.27368280948815,7.11823418353109,5.54945386009877,1.06571364722025e-06,0.000108787129067684,5.44078894609129,"","up"
"ITGB2",1.77980858270023,5.52758536910018,5.56074478222662,1.02387701472081e-06,0.00010627475223683,5.40480261622851,"","up"
"ZNF263",-1.32596731654211,5.45905184158228,-5.54295638022587,1.09055198063302e-06,0.000110527443237156,5.37959288814788,"","down"
